id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
76479,tv,The Boys,2019-07-25,621.9312,8.46,12381,en,Sci-Fi & Fantasy; Action & Adventure,2026-05-17
1439930,movie,The Punisher: One Last Kill,2026-05-12,610.8006,8.561,802,en,Action; Drama; Crime,2026-05-17
124364,tv,FROM,2022-02-20,535.969,8.359,3169,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-17
687163,movie,Project Hail Mary,2026-03-15,445.9974,8.563,3415,en,Science Fiction; Adventure,2026-05-17
1007757,movie,Swapped,2026-05-01,396.9951,8.996,1090,en,Animation; Family; Adventure; Fantasy,2026-05-17
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,326.3666,6.696,871,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-17
79744,tv,The Rookie,2018-10-16,261.6119,8.543,3215,en,Crime; Drama; Comedy,2026-05-17
1318447,movie,Apex,2026-04-24,251.7897,6.636,1055,en,Action; Thriller,2026-05-17
85552,tv,Euphoria,2019-06-16,234.5383,8.287,10636,en,Drama,2026-05-17
273240,tv,Off Campus,2026-05-13,197.1286,8.7,94,en,Drama,2026-05-17
1630423,movie,My Dearest Assassin,2026-05-06,183.5782,8.593,161,th,Action; Drama; Romance,2026-05-17
308014,tv,Berlin and the Lady with an Ermine,2026-05-15,177.3909,7.6,30,es,Drama; Crime,2026-05-17
931285,movie,Mortal Kombat II,2026-05-06,166.0432,6.966,192,en,Action; Fantasy; Adventure,2026-05-17
1266127,movie,Ready or Not: Here I Come,2026-03-19,153.7744,7.603,720,en,Thriller; Horror; Comedy,2026-05-17
83533,movie,Avatar: Fire and Ash,2025-12-17,151.3337,7.468,3052,en,Science Fiction; Adventure; Fantasy,2026-05-17
1292415,movie,Beast,2026-04-10,149.8461,6.6,28,en,Action; Drama,2026-05-17
1434,tv,Family Guy,1999-01-31,145.6191,7.4,4933,en,Animation; Comedy,2026-05-17
1327819,movie,Hoppers,2026-03-04,141.8937,8.048,1084,en,Adventure; Animation; Comedy; Family; Science Fiction,2026-05-17
66732,tv,Stranger Things,2016-07-15,138.1054,8.567,21159,en,Action & Adventure; Mystery; Sci-Fi & Fantasy,2026-05-17
56570,tv,Outlander,2014-08-09,133.4355,8.186,2853,en,Drama; Sci-Fi & Fantasy,2026-05-17
936075,movie,Michael,2026-04-22,132.9024,7.575,758,en,Music; Drama,2026-05-17
1330021,movie,Remarkably Bright Creatures,2026-05-07,125.026,8.521,282,en,Drama; Mystery,2026-05-17
259837,tv,The WONDERfools,2026-05-15,124.9554,9.167,27,ko,Action & Adventure; Comedy; Sci-Fi & Fantasy; Drama,2026-05-17
278573,tv,Perfect Crown,2026-04-10,121.8301,7.816,38,ko,Comedy; Drama,2026-05-17
1297842,movie,GOAT,2026-02-11,114.1298,8.077,605,en,Animation; Comedy; Family,2026-05-17
95557,tv,INVINCIBLE,2021-03-25,110.8555,8.631,5752,en,Animation; Drama; Sci-Fi & Fantasy; Action & Adventure,2026-05-17
1198994,movie,Send Help,2026-01-22,107.9293,7.027,1461,en,Horror; Thriller; Comedy,2026-05-17
1301421,movie,The Sheep Detectives,2026-04-30,100.7745,7.603,63,en,Comedy; Family; Mystery,2026-05-17
95479,tv,JUJUTSU KAISEN,2020-10-03,98.8517,8.563,4413,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-05-17
1339713,movie,Obsession,2026-04-16,97.5258,8.1,81,en,Horror; Thriller,2026-05-17
