id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
1368337,movie,The Odyssey,2026-07-15,1009.6524,7.963,1504,en,Adventure; Action; Fantasy,2026-07-26
1275779,movie,Disclosure Day,2026-06-10,570.1557,7.326,1735,en,Science Fiction; Thriller,2026-07-26
1108427,movie,Moana,2026-07-08,524.7725,5.9,144,en,Family; Fantasy; Comedy; Adventure,2026-07-26
1339713,movie,Obsession,2026-05-13,399.8726,8.249,3707,en,Horror; Thriller,2026-07-26
1083381,movie,Backrooms,2026-05-27,385.1439,7.1,2112,en,Horror; Mystery; Science Fiction,2026-07-26
1081003,movie,Supergirl,2026-06-24,371.4728,6.2,525,en,Action; Adventure; Science Fiction,2026-07-26
454639,movie,Masters of the Universe,2026-06-03,341.3882,7.342,1069,en,Action; Fantasy; Science Fiction,2026-07-26
1084244,movie,Toy Story 5,2026-06-17,332.9207,7.4,703,en,Animation; Family; Comedy; Adventure,2026-07-26
1315772,movie,Minions & Monsters,2026-06-24,325.4656,6.425,234,en,Adventure; Animation; Comedy; Family; Fantasy,2026-07-26
94997,tv,House of the Dragon,2022-08-21,321.724,8.376,6722,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-07-26
1273221,movie,Scary Movie,2026-06-03,294.0742,6.5,1131,en,Comedy,2026-07-26
1668364,movie,Desire,2026-05-07,269.1514,7.026,117,es,Mystery; Drama,2026-07-26
125988,tv,Silo,2023-05-04,232.3088,8.179,2323,en,Sci-Fi & Fantasy; Drama,2026-07-26
1228710,movie,The Mandalorian and Grogu,2026-05-20,220.7612,7.25,915,en,Action; Adventure; Science Fiction,2026-07-26
124364,tv,FROM,2022-02-20,219.4552,8.502,4058,en,Mystery; Drama; Sci-Fi & Fantasy,2026-07-26
60625,tv,Rick and Morty,2013-12-02,215.3392,8.679,11167,en,Animation; Comedy; Sci-Fi & Fantasy; Action & Adventure,2026-07-26
969681,movie,Spider-Man: Brand New Day,2026-07-28,204.9524,9.0,14,en,Science Fiction; Action; Adventure,2026-07-26
79744,tv,The Rookie,2018-10-16,204.0638,8.55,3400,en,Crime; Drama; Comedy,2026-07-26
687163,movie,Project Hail Mary,2026-03-15,197.9798,8.657,6451,en,Science Fiction; Adventure,2026-07-26
4057,tv,Criminal Minds,2005-09-22,187.4268,8.303,4133,en,Crime; Drama; Mystery,2026-07-26
1284465,movie,The Death of Robin Hood,2026-06-18,184.331,6.759,106,en,Adventure; Drama; Thriller; Action,2026-07-26
94664,tv,Mushoku Tensei: Jobless Reincarnation,2021-01-11,181.6868,8.463,1614,ja,Action & Adventure; Animation; Sci-Fi & Fantasy,2026-07-26
1630409,movie,The Debt Collector,2026-07-20,176.7201,6.821,14,th,Action; Thriller; Crime,2026-07-26
296206,tv,Agent Kim Reactivated,2026-06-26,175.9349,7.609,55,ko,Action & Adventure; Crime; Drama,2026-07-26
1318621,movie,Descendants: Wicked Wonderland,2026-07-16,163.3879,7.609,110,en,Fantasy; Family; TV Movie; Adventure,2026-07-26
1127384,movie,Deep Water,2026-04-30,154.2785,7.309,296,en,Horror; Thriller,2026-07-26
1314481,movie,The Devil Wears Prada 2,2026-04-29,153.641,7.161,1675,en,Comedy; Drama,2026-07-26
