id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
969681,movie,Spider-Man: Brand New Day,2026-07-29,1123.26,7.882,2292,en,Science Fiction; Action; Adventure,2026-08-31,Science Fiction
969681,movie,Spider-Man: Brand New Day,2026-07-29,1123.26,7.882,2292,en,Science Fiction; Action; Adventure,2026-08-31,Action
969681,movie,Spider-Man: Brand New Day,2026-07-29,1123.26,7.882,2292,en,Science Fiction; Action; Adventure,2026-08-31,Adventure
1368337,movie,The Odyssey,2026-07-15,633.2276,7.987,3343,en,Adventure; Action; Fantasy,2026-08-31,Adventure
1368337,movie,The Odyssey,2026-07-15,633.2276,7.987,3343,en,Adventure; Action; Fantasy,2026-08-31,Action
1368337,movie,The Odyssey,2026-07-15,633.2276,7.987,3343,en,Adventure; Action; Fantasy,2026-08-31,Fantasy
108978,tv,Reacher,2022-02-03,556.5367,8.1,3171,en,Action & Adventure; Crime,2026-08-31,Action & Adventure
108978,tv,Reacher,2022-02-03,556.5367,8.1,3171,en,Action & Adventure; Crime,2026-08-31,Crime
1288445,movie,Mutiny,2026-08-19,440.1567,6.353,232,en,Action; Thriller,2026-08-31,Action
1288445,movie,Mutiny,2026-08-19,440.1567,6.353,232,en,Action; Thriller,2026-08-31,Thriller
125988,tv,Silo,2023-05-04,339.6842,8.2,2523,en,Sci-Fi & Fantasy; Drama,2026-08-31,Sci-Fi & Fantasy
125988,tv,Silo,2023-05-04,339.6842,8.2,2523,en,Sci-Fi & Fantasy; Drama,2026-08-31,Drama
1621552,movie,Facing El Chapo,2026-08-21,327.1505,8.837,374,es,Crime; Action; Thriller,2026-08-31,Crime
1621552,movie,Facing El Chapo,2026-08-21,327.1505,8.837,374,es,Crime; Action; Thriller,2026-08-31,Action
1621552,movie,Facing El Chapo,2026-08-21,327.1505,8.837,374,es,Crime; Action; Thriller,2026-08-31,Thriller
1516698,movie,The Last Sunrise,2026-08-26,321.426,6.9,67,en,Romance; Drama,2026-08-31,Romance
1516698,movie,The Last Sunrise,2026-08-26,321.426,6.9,67,en,Romance; Drama,2026-08-31,Drama
1744462,movie,Grand Theft Auto VI: An Extended Look,2026-08-27,271.1184,8.991,271,en,Animation; Action; Adventure; Crime,2026-08-31,Animation
1744462,movie,Grand Theft Auto VI: An Extended Look,2026-08-27,271.1184,8.991,271,en,Animation; Action; Adventure; Crime,2026-08-31,Action
1744462,movie,Grand Theft Auto VI: An Extended Look,2026-08-27,271.1184,8.991,271,en,Animation; Action; Adventure; Crime,2026-08-31,Adventure
1744462,movie,Grand Theft Auto VI: An Extended Look,2026-08-27,271.1184,8.991,271,en,Animation; Action; Adventure; Crime,2026-08-31,Crime
456,tv,The Simpsons,1989-12-17,261.4622,8.021,10968,en,Animation; Comedy,2026-08-31,Animation
456,tv,The Simpsons,1989-12-17,261.4622,8.021,10968,en,Animation; Comedy,2026-08-31,Comedy
95350,tv,Lanterns,2026-08-16,255.6563,8.247,194,en,Drama; Mystery; Sci-Fi & Fantasy,2026-08-31,Drama
