id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
969681,movie,Spider-Man: Brand New Day,2026-07-29,1123.26,7.882,2292,en,Science Fiction; Action; Adventure,2026-08-31
1368337,movie,The Odyssey,2026-07-15,633.2276,7.987,3343,en,Adventure; Action; Fantasy,2026-08-31
108978,tv,Reacher,2022-02-03,556.5367,8.1,3171,en,Action & Adventure; Crime,2026-08-31
1288445,movie,Mutiny,2026-08-19,440.1567,6.353,232,en,Action; Thriller,2026-08-31
125988,tv,Silo,2023-05-04,339.6842,8.2,2523,en,Sci-Fi & Fantasy; Drama,2026-08-31
1621552,movie,Facing El Chapo,2026-08-21,327.1505,8.837,374,es,Crime; Action; Thriller,2026-08-31
1516698,movie,The Last Sunrise,2026-08-26,321.426,6.9,67,en,Romance; Drama,2026-08-31
1744462,movie,Grand Theft Auto VI: An Extended Look,2026-08-27,271.1184,8.991,271,en,Animation; Action; Adventure; Crime,2026-08-31
456,tv,The Simpsons,1989-12-17,261.4622,8.021,10968,en,Animation; Comedy,2026-08-31
95350,tv,Lanterns,2026-08-16,255.6563,8.247,194,en,Drama; Mystery; Sci-Fi & Fantasy,2026-08-31
1339713,movie,Obsession,2026-05-13,254.3681,8.206,5178,en,Horror; Thriller,2026-08-31
1084244,movie,Toy Story 5,2026-06-17,236.3186,8.3,1811,en,Animation; Family; Comedy; Adventure,2026-08-31
1084244,movie,Toy Story 5,2026-06-17,230.5103,8.287,1810,en,Animation; Family; Comedy; Adventure,2026-08-31
1232569,movie,Pinocchio: Unstrung,2026-07-22,214.2485,6.8,68,en,Horror; Fantasy; Mystery,2026-08-31
860508,movie,The Whisper Man,2026-08-27,212.6158,6.315,163,en,Crime; Drama; Thriller,2026-08-31
100757,tv,Outer Banks,2020-04-15,192.1203,8.2,1250,en,Action & Adventure; Mystery,2026-08-31
1315772,movie,Minions & Monsters,2026-06-24,183.8861,7.575,949,en,Adventure; Animation; Comedy; Family; Fantasy,2026-08-31
94997,tv,House of the Dragon,2022-08-21,172.2229,8.386,7064,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-08-31
1108427,movie,Moana,2026-07-08,157.6416,6.149,249,en,Family; Fantasy; Comedy; Adventure,2026-08-31
246246,tv,Beauty in Black,2024-10-24,149.6069,8.292,277,en,Drama,2026-08-31
246246,tv,Beauty in Black,2024-10-24,149.6069,8.292,277,en,Drama,2026-08-31
124364,tv,FROM,2022-02-20,142.1127,8.495,4220,en,Mystery; Drama; Sci-Fi & Fantasy,2026-08-31
