id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
1265609,movie,War Machine,2026-02-12,415.4914,6.9,251,en,Action; Science Fiction; Thriller,2026-03-08
1290821,movie,Shelter,2026-01-28,373.401,6.746,242,en,Action; Crime; Thriller,2026-03-08
799882,movie,The Bluff,2026-02-17,250.1719,6.244,215,en,Action; Thriller,2026-03-08
456,tv,The Simpsons,1989-12-17,241.3155,8.0,10603,en,Family; Animation; Comedy,2026-03-08
79744,tv,The Rookie,2018-10-16,238.3444,8.536,3019,en,Crime; Drama; Comedy,2026-03-08
1434,tv,Family Guy,1999-01-31,184.7129,7.4,4823,en,Animation; Comedy,2026-03-08
91239,tv,Bridgerton,2020-12-25,182.5431,8.074,3209,en,Drama,2026-03-08
255661,tv,Young Sherlock,2026-03-04,180.2122,8.2,62,en,Action & Adventure; Mystery,2026-03-08
680493,movie,Return to Silent Hill,2026-01-21,160.9873,5.0,252,en,Mystery; Drama; Horror,2026-03-08
95479,tv,JUJUTSU KAISEN,2020-10-03,154.5779,8.557,4235,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-03-08
290856,tv,Marshals,2026-03-01,152.4587,8.0,50,en,Drama; Western,2026-03-08
1159559,movie,Scream 7,2026-02-25,151.1317,6.0,254,en,Horror; Mystery; Crime,2026-03-08
66732,tv,Stranger Things,2016-07-15,148.9988,8.576,20791,en,Sci-Fi & Fantasy; Mystery; Action & Adventure,2026-03-08
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,141.5192,8.446,626,en,Drama; Sci-Fi & Fantasy; Action & Adventure,2026-03-08
1236153,movie,Mercy,2026-01-20,135.0507,7.067,671,en,Science Fiction; Action; Thriller,2026-03-08
1084242,movie,Zootopia 2,2025-11-26,128.6089,7.612,1976,en,Animation; Comedy; Adventure; Family; Mystery,2026-03-08
840464,movie,Greenland 2: Migration,2026-01-07,125.4984,6.5,558,en,Adventure; Thriller; Science Fiction,2026-03-08
1327819,movie,Hoppers,2026-03-04,121.0597,7.727,86,en,Animation; Family; Comedy; Science Fiction; Adventure,2026-03-08
281016,tv,Boyfriend on Demand,2026-03-06,120.9321,8.8,24,ko,Comedy; Sci-Fi & Fantasy; Drama,2026-03-08
83533,movie,Avatar: Fire and Ash,2025-12-17,112.5888,7.27,1866,en,Science Fiction; Adventure; Fantasy,2026-03-08
1419406,movie,The Shadow's Edge,2025-08-16,111.5835,7.2,475,zh,Action; Crime; Drama; Thriller,2026-03-08
202411,tv,Monarch: Legacy of Monsters,2023-11-16,106.1171,7.683,1068,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-03-08
1159831,movie,The Bride!,2026-03-04,99.3127,6.5,89,en,Science Fiction; Horror; Comedy,2026-03-08
1368166,movie,The Housemaid,2025-12-18,94.761,7.3,1431,en,Drama; Mystery; Thriller,2026-03-08
56570,tv,Outlander,2014-08-09,92.0933,8.178,2779,en,Drama; Sci-Fi & Fantasy,2026-03-08
300054,tv,BAKI-DOU: The Invincible Samurai,2026-02-26,89.1569,9.156,16,ja,Animation; Action & Adventure,2026-03-08
285739,tv,Vladimir,2026-03-05,87.0165,7.962,26,en,Drama,2026-03-08
696393,movie,Cold Storage,2026-01-22,84.7263,6.548,85,en,Horror; Science Fiction; Comedy,2026-03-08
