id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
969681,movie,Spider-Man: Brand New Day,2026-07-29,1467.2453,7.865,1405,en,Science Fiction; Action; Adventure,2026-08-09
1368337,movie,The Odyssey,2026-07-15,898.4282,7.975,2507,en,Adventure; Action; Fantasy,2026-08-09
1081003,movie,Supergirl,2026-06-24,420.2912,6.744,1718,en,Action; Adventure; Science Fiction,2026-08-09
94997,tv,House of the Dragon,2022-08-21,347.0066,8.382,6879,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-08-09
1084244,movie,Toy Story 5,2026-06-17,307.8934,7.42,795,en,Animation; Family; Comedy; Adventure,2026-08-09
1275779,movie,Disclosure Day,2026-06-10,305.3176,7.425,2576,en,Science Fiction; Thriller,2026-08-09
1339713,movie,Obsession,2026-05-13,303.9085,8.231,4471,en,Horror; Thriller,2026-08-09
113962,tv,Lioness,2023-07-23,303.5051,8.018,1309,en,Drama; War & Politics,2026-08-09
1284041,movie,The Last House,2026-08-06,290.8148,6.611,266,en,Horror; Science Fiction; Thriller,2026-08-09
1284465,movie,The Death of Robin Hood,2026-06-18,287.7651,6.374,183,en,Adventure; Drama; Action,2026-08-09
1212763,movie,Evil Dead Burn,2026-07-07,257.5755,7.872,834,en,Horror,2026-08-09
1315772,movie,Minions & Monsters,2026-06-24,256.0157,6.356,271,en,Adventure; Animation; Comedy; Family; Fantasy,2026-08-09
1108427,movie,Moana,2026-07-08,255.3126,6.04,187,en,Family; Fantasy; Comedy; Adventure,2026-08-09
1375646,movie,Colony,2026-05-21,254.6634,8.098,451,ko,Action; Horror; Science Fiction,2026-08-09
79744,tv,The Rookie,2018-10-16,242.6292,8.546,3449,en,Crime; Drama; Comedy,2026-08-09
125988,tv,Silo,2023-05-04,236.6381,8.185,2395,en,Sci-Fi & Fantasy; Drama,2026-08-09
1481343,movie,The Devil's Mouth,2026-07-29,227.0605,6.545,528,en,Horror; Thriller,2026-08-09
454639,movie,Masters of the Universe,2026-06-03,214.7988,7.206,1706,en,Action; Fantasy; Science Fiction,2026-08-09
1083381,movie,Backrooms,2026-05-27,204.8987,7.1,2627,en,Horror; Mystery; Science Fiction,2026-08-09
456,tv,The Simpsons,1989-12-17,203.8739,8.021,10924,en,Animation; Comedy,2026-08-09
60625,tv,Rick and Morty,2013-12-02,202.7907,8.681,11249,en,Animation; Comedy; Sci-Fi & Fantasy; Action & Adventure,2026-08-09
291496,tv,Our Sticky Love,2026-08-07,193.1393,7.045,11,ko,Drama; Comedy,2026-08-09
1307118,movie,Soulm8te,2026-07-31,187.3571,6.444,81,en,Horror; Science Fiction; Thriller,2026-08-09
1273221,movie,Scary Movie,2026-06-03,185.9963,6.462,1535,en,Comedy,2026-08-09
124364,tv,FROM,2022-02-20,185.1812,8.499,4126,en,Mystery; Drama; Sci-Fi & Fantasy,2026-08-09
980431,movie,Avatar Aang: The Last Airbender,2026-07-24,175.1395,9.281,759,en,Animation; Action; Adventure; Fantasy,2026-08-09
108978,tv,Reacher,2022-02-03,171.6003,8.077,3002,en,Action & Adventure; Drama; Crime,2026-08-09
1564614,movie,Leviticus,2026-06-17,162.2669,6.597,226,en,Horror; Romance,2026-08-09
687163,movie,Project Hail Mary,2026-03-15,144.9994,8.659,6896,en,Science Fiction; Adventure,2026-08-09
1311031,movie,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,144.1251,8.668,1735,ja,Animation; Action; Fantasy,2026-08-09
97546,tv,Ted Lasso,2020-08-14,143.4798,8.344,2509,en,Drama; Comedy,2026-08-09
66732,tv,Stranger Things,2016-07-15,135.7894,8.556,21605,en,Action & Adventure; Mystery; Sci-Fi & Fantasy,2026-08-09
94664,tv,Mushoku Tensei: Jobless Reincarnation,2021-01-11,134.9046,8.469,1636,ja,Action & Adventure; Animation; Sci-Fi & Fantasy,2026-08-09
76479,tv,The Boys,2019-07-25,134.2299,8.441,13241,en,Sci-Fi & Fantasy; Action & Adventure,2026-08-09
30984,tv,Bleach,2004-10-05,121.9332,8.367,2208,ja,Action & Adventure; Animation; Sci-Fi & Fantasy,2026-08-09
1314481,movie,The Devil Wears Prada 2,2026-04-29,120.2228,7.1,1983,en,Comedy; Drama,2026-08-09
615,tv,Futurama,1999-03-28,111.2256,8.364,3835,en,Animation; Comedy; Sci-Fi & Fantasy,2026-08-09
936075,movie,Michael,2026-04-22,104.9185,8.692,3940,en,Music; Drama,2026-08-09
278624,tv,Lucky,2026-07-14,102.0652,7.383,125,en,Drama; Crime,2026-08-09
106449,tv,A Record of a Mortal's Journey to Immortality,2020-07-25,100.8148,8.4,83,zh,Animation; Action & Adventure; Drama,2026-08-09
931285,movie,Mortal Kombat II,2026-05-06,99.3242,7.892,2317,en,Action; Fantasy; Adventure,2026-08-09
138502,tv,X-Men '97,2024-03-20,94.5489,8.7,826,en,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-08-09
199001,tv,My Life with the Walter Boys,2023-12-07,93.2008,7.8,397,en,Drama,2026-08-09
1228710,movie,The Mandalorian and Grogu,2026-05-20,92.2754,7.476,1190,en,Action; Adventure; Science Fiction,2026-08-09
1594914,movie,Lucky Strike,2026-06-26,89.6865,7.368,19,en,Action; War,2026-08-09
1263532,movie,Beast Race,2026-03-17,89.4695,6.025,40,pt,Action; Science Fiction; Thriller,2026-08-09
209867,tv,Frieren: Beyond Journey's End,2023-09-29,86.0508,8.8,918,ja,Animation; Action & Adventure; Drama; Sci-Fi & Fantasy,2026-08-09
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,85.1676,8.256,3394,en,Family; Comedy; Adventure; Fantasy; Animation,2026-08-09
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,85.1676,8.256,3394,en,Family; Comedy; Adventure; Fantasy; Animation,2026-08-09
1439930,movie,The Punisher: One Last Kill,2026-05-12,84.7836,8.296,2028,en,Action; Drama; Crime,2026-08-09
65942,tv,Re:ZERO -Starting Life in Another World-,2016-04-04,83.5126,8.0,733,ja,Animation; Drama; Mystery; Action & Adventure; Sci-Fi & Fantasy,2026-08-09
1404304,movie,The Isolate Thief,2026-07-10,82.952,7.038,13,en,Western; Action; Drama,2026-08-09
