id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
1416,tv,Grey's Anatomy,2005-03-27,412.1016,8.209,10809,en,Drama,2026-03-22,Drama
1265609,movie,War Machine,2026-02-12,378.8329,7.25,1073,en,Action; Science Fiction; Thriller,2026-03-22,Action
1265609,movie,War Machine,2026-02-12,378.8329,7.25,1073,en,Action; Science Fiction; Thriller,2026-03-22,Science Fiction
1265609,movie,War Machine,2026-02-12,378.8329,7.25,1073,en,Action; Science Fiction; Thriller,2026-03-22,Thriller
456,tv,The Simpsons,1989-12-17,373.4205,8.012,10630,en,Family; Animation; Comedy,2026-03-22,Family
456,tv,The Simpsons,1989-12-17,373.4205,8.012,10630,en,Family; Animation; Comedy,2026-03-22,Animation
456,tv,The Simpsons,1989-12-17,373.4205,8.012,10630,en,Family; Animation; Comedy,2026-03-22,Comedy
79744,tv,The Rookie,2018-10-16,326.273,8.53,3060,en,Crime; Drama; Comedy,2026-03-22,Crime
79744,tv,The Rookie,2018-10-16,326.273,8.53,3060,en,Crime; Drama; Comedy,2026-03-22,Drama
79744,tv,The Rookie,2018-10-16,326.273,8.53,3060,en,Crime; Drama; Comedy,2026-03-22,Comedy
875828,movie,Peaky Blinders: The Immortal Man,2026-03-05,325.8409,7.3,267,en,Crime; Drama,2026-03-22,Crime
875828,movie,Peaky Blinders: The Immortal Man,2026-03-05,325.8409,7.3,267,en,Crime; Drama,2026-03-22,Drama
1290821,movie,Shelter,2026-01-28,309.5562,6.587,349,en,Action; Crime; Thriller,2026-03-22,Action
1290821,movie,Shelter,2026-01-28,309.5562,6.587,349,en,Action; Crime; Thriller,2026-03-22,Crime
1290821,movie,Shelter,2026-01-28,309.5562,6.587,349,en,Action; Crime; Thriller,2026-03-22,Thriller
1434,tv,Family Guy,1999-01-31,309.1034,7.4,4849,en,Animation; Comedy,2026-03-22,Animation
1434,tv,Family Guy,1999-01-31,309.1034,7.4,4849,en,Animation; Comedy,2026-03-22,Comedy
83533,movie,Avatar: Fire and Ash,2025-12-17,289.7544,7.266,1911,en,Science Fiction; Adventure; Fantasy,2026-03-22,Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,289.7544,7.266,1911,en,Science Fiction; Adventure; Fantasy,2026-03-22,Adventure
83533,movie,Avatar: Fire and Ash,2025-12-17,289.7544,7.266,1911,en,Science Fiction; Adventure; Fantasy,2026-03-22,Fantasy
1159559,movie,Scream 7,2026-02-25,281.5991,5.864,416,en,Horror; Mystery; Crime,2026-03-22,Horror
1159559,movie,Scream 7,2026-02-25,281.5991,5.864,416,en,Horror; Mystery; Crime,2026-03-22,Mystery
1159559,movie,Scream 7,2026-02-25,281.5991,5.864,416,en,Horror; Mystery; Crime,2026-03-22,Crime
687163,movie,Project Hail Mary,2026-03-15,261.0145,8.274,286,en,Science Fiction; Adventure; Mystery,2026-03-22,Science Fiction
