id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
124364,tv,FROM,2022-02-20,646.8934,8.5,3699,en,Mystery; Drama; Sci-Fi & Fantasy,2026-06-21
1339713,movie,Obsession,2026-05-13,572.4758,7.9,907,en,Horror; Thriller,2026-06-21
936075,movie,Michael,2026-04-22,501.8423,8.7,2810,en,Music; Drama,2026-06-21
931285,movie,Mortal Kombat II,2026-05-06,468.2876,7.992,1555,en,Action; Fantasy; Adventure,2026-06-21
931285,movie,Mortal Kombat II,2026-05-06,468.2876,7.988,1552,en,Action; Fantasy; Adventure,2026-06-21
1392469,movie,Cocktail 2,2026-06-19,459.7105,7.0,1,hi,Romance; Comedy,2026-06-21
1239134,movie,Bhooth Bangla,2026-04-16,375.773,5.464,28,hi,Horror; Comedy,2026-06-21
273240,tv,Off Campus,2026-05-13,306.5365,8.927,508,en,Drama,2026-06-21
1084244,movie,Toy Story 5,2026-06-17,291.4863,7.417,175,en,Animation; Family; Comedy; Adventure,2026-06-21
76479,tv,The Boys,2019-07-25,250.4583,8.451,12957,en,Sci-Fi & Fantasy; Action & Adventure,2026-06-21
79744,tv,The Rookie,2018-10-16,223.4399,8.549,3319,en,Crime; Drama; Comedy,2026-06-21
79744,tv,The Rookie,2018-10-16,223.4399,8.549,3318,en,Crime; Drama; Comedy,2026-06-21
1275779,movie,Disclosure Day,2026-06-10,218.9688,6.708,589,en,Science Fiction; Thriller,2026-06-21
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,209.5143,8.209,2729,en,Family; Comedy; Adventure; Fantasy; Animation,2026-06-21
1228710,movie,The Mandalorian and Grogu,2026-05-20,207.1195,6.733,501,en,Action; Adventure; Science Fiction,2026-06-21
1477317,movie,Your Fault: London,2026-06-17,206.1116,7.729,83,en,Romance; Drama,2026-06-21
276161,tv,Teach You a Lesson,2026-06-05,195.4228,9.5,413,ko,Action & Adventure; Drama; Comedy,2026-06-21
456,tv,The Simpsons,1989-12-17,193.4194,8.02,10827,en,Family; Animation; Comedy,2026-06-21
1280738,movie,The Furious,2026-06-10,183.7221,7.721,52,zh,Action; Crime,2026-06-21
1304313,movie,Lee Cronin's The Mummy,2026-04-15,153.6303,8.023,1917,en,Horror; Mystery,2026-06-21
299167,tv,Dutton Ranch,2026-05-15,151.6032,9.33,288,en,Western; Drama,2026-06-21
278178,tv,I Will Find You,2026-06-18,146.3425,8.651,53,en,Drama; Mystery; Crime,2026-06-21
1127384,movie,Deep Water,2026-04-30,143.1929,6.138,40,en,Thriller; Horror,2026-06-21
687163,movie,Project Hail Mary,2026-03-15,137.5093,8.682,5263,en,Science Fiction; Adventure,2026-06-21
687163,movie,Project Hail Mary,2026-03-15,137.5093,8.682,5263,en,Science Fiction; Adventure,2026-06-21
1122573,movie,In the Grey,2026-05-13,135.5005,6.602,254,en,Action; Thriller,2026-06-21
1439930,movie,The Punisher: One Last Kill,2026-05-12,134.3121,8.347,1666,en,Action; Drama; Crime,2026-06-21
94997,tv,House of the Dragon,2022-08-21,132.5104,8.301,6056,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-06-21
1083381,movie,Backrooms,2026-05-27,122.1308,6.873,659,en,Horror; Mystery; Science Fiction,2026-06-21
1451344,movie,Husbands in Action,2026-06-18,120.5981,6.531,16,ko,Comedy; Action,2026-06-21
322430,tv,The Polygamist,2026-06-12,118.2588,7.8,26,zu,Drama; Soap,2026-06-21
85552,tv,Euphoria,2019-06-16,116.6277,8.287,10881,en,Drama,2026-06-21
454639,movie,Masters of the Universe,2026-06-03,116.1047,7.2,265,en,Action; Fantasy; Science Fiction,2026-06-21
106449,tv,A Record of a Mortal's Journey to Immortality,2020-07-25,116.006,8.408,77,zh,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-06-21
1327819,movie,Hoppers,2026-03-04,113.8584,8.188,1677,en,Adventure; Animation; Comedy; Family; Science Fiction,2026-06-21
95479,tv,JUJUTSU KAISEN,2020-10-03,112.6249,8.6,4496,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-06-21
66732,tv,Stranger Things,2016-07-15,111.5353,8.563,21321,en,Action & Adventure; Mystery; Sci-Fi & Fantasy,2026-06-21
614945,movie,Voicemails for Isabelle,2026-06-20,105.5354,7.663,86,en,Romance; Comedy,2026-06-21
260592,tv,Every Year After,2026-06-10,103.1203,8.318,44,en,Drama,2026-06-21
220102,tv,Spider-Noir,2026-05-25,100.2868,8.521,572,en,Drama; Mystery; Crime,2026-06-21
