id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
76479,tv,The Boys,2019-07-25,572.7466,8.445,12173,en,Sci-Fi & Fantasy; Action & Adventure,2026-05-10,Sci-Fi & Fantasy
76479,tv,The Boys,2019-07-25,572.7466,8.445,12173,en,Sci-Fi & Fantasy; Action & Adventure,2026-05-10,Action & Adventure
124364,tv,FROM,2022-02-20,502.3581,8.221,2845,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-10,Mystery
124364,tv,FROM,2022-02-20,502.3581,8.221,2845,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-10,Drama
124364,tv,FROM,2022-02-20,502.3581,8.221,2845,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-10,Sci-Fi & Fantasy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,446.092,6.7,797,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-10,Family
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,446.092,6.7,797,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-10,Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,446.092,6.7,797,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-10,Adventure
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,446.092,6.7,797,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-10,Fantasy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,446.092,6.7,797,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-10,Animation
1007757,movie,Swapped,2026-05-01,439.2825,8.789,339,en,Adventure; Animation; Family; Fantasy,2026-05-10,Adventure
1007757,movie,Swapped,2026-05-01,439.2825,8.789,339,en,Adventure; Animation; Family; Fantasy,2026-05-10,Animation
1007757,movie,Swapped,2026-05-01,439.2825,8.789,339,en,Adventure; Animation; Family; Fantasy,2026-05-10,Family
1007757,movie,Swapped,2026-05-01,439.2825,8.789,339,en,Adventure; Animation; Family; Fantasy,2026-05-10,Fantasy
1318447,movie,Apex,2026-04-24,341.5739,6.502,817,en,Action; Thriller,2026-05-10,Action
1318447,movie,Apex,2026-04-24,341.5739,6.502,817,en,Action; Thriller,2026-05-10,Thriller
79744,tv,The Rookie,2018-10-16,271.2041,8.532,3172,en,Crime; Drama; Comedy,2026-05-10,Crime
79744,tv,The Rookie,2018-10-16,271.2041,8.532,3172,en,Crime; Drama; Comedy,2026-05-10,Drama
79744,tv,The Rookie,2018-10-16,271.2041,8.532,3172,en,Crime; Drama; Comedy,2026-05-10,Comedy
1198994,movie,Send Help,2026-01-22,260.0754,7.011,1297,en,Horror; Thriller; Comedy,2026-05-10,Horror
1198994,movie,Send Help,2026-01-22,260.0754,7.011,1297,en,Horror; Thriller; Comedy,2026-05-10,Thriller
