id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
969681,movie,Spider-Man: Brand New Day,2026-07-29,1453.6083,7.9,2092,en,Science Fiction; Action; Adventure,2026-08-23,Science Fiction
969681,movie,Spider-Man: Brand New Day,2026-07-29,1453.6083,7.9,2092,en,Science Fiction; Action; Adventure,2026-08-23,Action
969681,movie,Spider-Man: Brand New Day,2026-07-29,1453.6083,7.9,2092,en,Science Fiction; Action; Adventure,2026-08-23,Adventure
1368337,movie,The Odyssey,2026-07-15,655.2789,7.997,3116,en,Adventure; Action; Fantasy,2026-08-23,Adventure
1368337,movie,The Odyssey,2026-07-15,655.2789,7.997,3116,en,Adventure; Action; Fantasy,2026-08-23,Action
1368337,movie,The Odyssey,2026-07-15,655.2789,7.997,3116,en,Adventure; Action; Fantasy,2026-08-23,Fantasy
108978,tv,Reacher,2022-02-03,639.0961,8.087,3117,en,Action & Adventure; Crime,2026-08-23,Action & Adventure
108978,tv,Reacher,2022-02-03,639.0961,8.087,3117,en,Action & Adventure; Crime,2026-08-23,Crime
1288445,movie,Mutiny,2026-08-19,444.6252,6.615,122,en,Action; Thriller,2026-08-23,Action
1288445,movie,Mutiny,2026-08-19,444.6252,6.615,122,en,Action; Thriller,2026-08-23,Thriller
1084244,movie,Toy Story 5,2026-06-17,373.5784,8.161,1496,en,Animation; Family; Comedy; Adventure,2026-08-23,Animation
1084244,movie,Toy Story 5,2026-06-17,373.5784,8.161,1496,en,Animation; Family; Comedy; Adventure,2026-08-23,Family
1084244,movie,Toy Story 5,2026-06-17,373.5784,8.161,1496,en,Animation; Family; Comedy; Adventure,2026-08-23,Comedy
1084244,movie,Toy Story 5,2026-06-17,373.5784,8.161,1496,en,Animation; Family; Comedy; Adventure,2026-08-23,Adventure
125988,tv,Silo,2023-05-04,328.9215,8.191,2484,en,Sci-Fi & Fantasy; Drama,2026-08-23,Sci-Fi & Fantasy
125988,tv,Silo,2023-05-04,328.9215,8.191,2484,en,Sci-Fi & Fantasy; Drama,2026-08-23,Drama
113962,tv,Lioness,2023-07-23,324.8951,8.1,1392,en,Drama; War & Politics,2026-08-23,Drama
113962,tv,Lioness,2023-07-23,324.8951,8.1,1392,en,Drama; War & Politics,2026-08-23,War & Politics
95350,tv,Lanterns,2026-08-16,276.1732,8.2,144,en,Drama; Mystery; Sci-Fi & Fantasy,2026-08-23,Drama
95350,tv,Lanterns,2026-08-16,276.1732,8.2,144,en,Drama; Mystery; Sci-Fi & Fantasy,2026-08-23,Mystery
95350,tv,Lanterns,2026-08-16,276.1732,8.2,144,en,Drama; Mystery; Sci-Fi & Fantasy,2026-08-23,Sci-Fi & Fantasy
1375646,movie,Colony,2026-05-21,254.1711,8.1,582,ko,Action; Horror; Science Fiction,2026-08-23,Action
1375646,movie,Colony,2026-05-21,254.1711,8.1,582,ko,Action; Horror; Science Fiction,2026-08-23,Horror
1375646,movie,Colony,2026-05-21,254.1711,8.1,582,ko,Action; Horror; Science Fiction,2026-08-23,Science Fiction
1339713,movie,Obsession,2026-05-13,253.0483,8.223,4973,en,Horror; Thriller,2026-08-23,Horror
1339713,movie,Obsession,2026-05-13,253.0483,8.223,4973,en,Horror; Thriller,2026-08-23,Thriller
94997,tv,House of the Dragon,2022-08-21,239.5803,8.386,7021,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-08-23,Sci-Fi & Fantasy
94997,tv,House of the Dragon,2022-08-21,239.5803,8.386,7021,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-08-23,Drama
94997,tv,House of the Dragon,2022-08-21,239.5803,8.386,7021,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-08-23,Action & Adventure
79744,tv,The Rookie,2018-10-16,234.1314,8.541,3482,en,Crime; Drama; Comedy,2026-08-23,Crime
79744,tv,The Rookie,2018-10-16,234.1314,8.541,3482,en,Crime; Drama; Comedy,2026-08-23,Drama
79744,tv,The Rookie,2018-10-16,234.1314,8.541,3482,en,Crime; Drama; Comedy,2026-08-23,Comedy
456,tv,The Simpsons,1989-12-17,233.085,8.021,10949,en,Animation; Comedy,2026-08-23,Animation
456,tv,The Simpsons,1989-12-17,233.085,8.021,10949,en,Animation; Comedy,2026-08-23,Comedy
1315772,movie,Minions & Monsters,2026-06-24,230.1696,7.508,817,en,Adventure; Animation; Comedy; Family; Fantasy,2026-08-23,Adventure
1315772,movie,Minions & Monsters,2026-06-24,230.1696,7.508,817,en,Adventure; Animation; Comedy; Family; Fantasy,2026-08-23,Animation
1315772,movie,Minions & Monsters,2026-06-24,230.1696,7.508,817,en,Adventure; Animation; Comedy; Family; Fantasy,2026-08-23,Comedy
1315772,movie,Minions & Monsters,2026-06-24,230.1696,7.508,817,en,Adventure; Animation; Comedy; Family; Fantasy,2026-08-23,Family
1315772,movie,Minions & Monsters,2026-06-24,230.1696,7.508,817,en,Adventure; Animation; Comedy; Family; Fantasy,2026-08-23,Fantasy
1108427,movie,Moana,2026-07-08,225.3442,6.113,221,en,Family; Fantasy; Comedy; Adventure,2026-08-23,Family
1108427,movie,Moana,2026-07-08,225.3442,6.113,221,en,Family; Fantasy; Comedy; Adventure,2026-08-23,Fantasy
1108427,movie,Moana,2026-07-08,225.3442,6.113,221,en,Family; Fantasy; Comedy; Adventure,2026-08-23,Comedy
1108427,movie,Moana,2026-07-08,225.3442,6.113,221,en,Family; Fantasy; Comedy; Adventure,2026-08-23,Adventure
