id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
66732,tv,Stranger Things,2016-07-15,847.7359,8.6,20222,en,Sci-Fi & Fantasy; Mystery; Action & Adventure,2026-01-11
1242898,movie,Predator: Badlands,2025-11-05,788.0559,7.74,1262,en,Action; Science Fiction; Adventure,2026-01-11
1252037,movie,The Tank,2025-09-18,394.5915,7.028,176,de,War; Action; Drama,2026-01-11
83533,movie,Avatar: Fire and Ash,2025-12-17,364.9943,7.357,1350,en,Science Fiction; Adventure; Fantasy,2026-01-11
79744,tv,The Rookie,2018-10-16,271.5717,8.533,2885,en,Crime; Drama; Comedy,2026-01-11
1084242,movie,Zootopia 2,2025-11-26,256.7834,7.584,1037,en,Animation; Comedy; Adventure; Family; Mystery,2026-01-11
95479,tv,JUJUTSU KAISEN,2020-10-03,238.6093,8.57,4087,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-01-11
628847,movie,Trap House,2025-11-14,221.0601,6.3,130,en,Action; Crime; Thriller,2026-01-11
456,tv,The Simpsons,1989-12-17,188.0305,8.011,10524,en,Family; Animation; Comedy,2026-01-11
1368166,movie,The Housemaid,2025-12-18,172.5762,7.217,306,en,Mystery; Thriller,2026-01-11
1311031,movie,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,165.1493,7.639,649,ja,Animation; Action; Fantasy,2026-01-11
1399,tv,Game of Thrones,2011-04-17,156.1748,8.46,26060,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-01-11
106379,tv,Fallout,2024-04-10,145.4252,8.163,2346,en,Action & Adventure; Sci-Fi & Fantasy,2026-01-11
1228246,movie,Five Nights at Freddy's 2,2025-12-03,144.2578,6.795,565,en,Horror; Thriller,2026-01-11
240459,tv,Spartacus: House of Ashur,2025-12-05,131.9557,6.3,118,en,Drama; Action & Adventure,2026-01-11
1034716,movie,People We Meet on Vacation,2026-01-06,120.6873,7.1,110,en,Romance; Comedy; Drama,2026-01-11
425274,movie,Now You See Me: Now You Don't,2025-11-12,120.0166,6.575,855,en,Thriller; Crime; Mystery,2026-01-11
982843,movie,The Great Flood,2025-09-18,109.2579,6.05,460,ko,Science Fiction; Adventure; Drama,2026-01-11
259731,tv,HIS & HERS,2026-01-08,103.56,5.983,58,en,Mystery; Crime; Drama,2026-01-11
200875,tv,IT: Welcome to Derry,2025-10-26,103.1397,8.236,1163,en,Drama; Mystery,2026-01-11
250307,tv,The Pitt,2025-01-09,97.4175,8.7,365,en,Drama,2026-01-11
533533,movie,TRON: Ares,2025-10-08,90.3424,6.555,964,en,Science Fiction; Adventure; Action,2026-01-11
2190,tv,South Park,1997-08-13,85.9651,8.337,4797,en,Animation; Comedy,2026-01-11
76600,movie,Avatar: The Way of Water,2022-12-14,83.4016,7.606,13485,en,Action; Adventure; Science Fiction,2026-01-11
19995,movie,Avatar,2009-12-16,79.7621,7.6,33219,en,Action; Adventure; Fantasy; Science Fiction,2026-01-11
1223601,movie,Sisu: Road to Revenge,2025-10-21,75.2562,7.459,448,fi,Action; War,2026-01-11
157741,tv,Landman,2024-11-17,74.962,8.049,358,en,Drama,2026-01-11
225171,tv,Pluribus,2025-11-06,72.089,7.964,536,en,Drama; Sci-Fi & Fantasy,2026-01-11
7451,movie,xXx,2002-08-09,71.91,5.981,4724,en,Action; Adventure; Thriller; Crime; Drama,2026-01-11
1234731,movie,Anaconda,2025-12-24,70.9246,5.953,139,en,Adventure; Comedy; Horror,2026-01-11
120089,tv,SPY x FAMILY,2022-04-09,70.9078,8.524,2166,ja,Animation; Action & Adventure; Comedy,2026-01-11
639988,movie,No Other Choice,2025-09-24,69.6215,7.779,353,ko,Crime; Thriller; Comedy,2026-01-11
249907,tv,Sentenced to Be a Hero,2026-01-03,68.4257,9.5,17,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-01-11
1054867,movie,One Battle After Another,2025-09-23,68.0053,7.449,2341,en,Thriller; Crime; Action,2026-01-11
967941,movie,Wicked: For Good,2025-11-19,67.2926,6.713,692,en,Fantasy; Adventure; Romance,2026-01-11
