id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
1523145,movie,Your Heart Will Be Broken,2026-03-26,849.4288,7.045,56,ru,Romance; Drama,2026-04-12,Romance
1523145,movie,Your Heart Will Be Broken,2026-03-26,849.4288,7.045,56,ru,Romance; Drama,2026-04-12,Drama
76479,tv,The Boys,2019-07-25,800.6282,8.439,11832,en,Sci-Fi & Fantasy; Action & Adventure,2026-04-12,Sci-Fi & Fantasy
76479,tv,The Boys,2019-07-25,800.6282,8.439,11832,en,Sci-Fi & Fantasy; Action & Adventure,2026-04-12,Action & Adventure
83533,movie,Avatar: Fire and Ash,2025-12-17,354.1924,7.366,2531,en,Science Fiction; Adventure; Fantasy,2026-04-12,Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,354.1924,7.366,2531,en,Science Fiction; Adventure; Fantasy,2026-04-12,Adventure
83533,movie,Avatar: Fire and Ash,2025-12-17,354.1924,7.366,2531,en,Science Fiction; Adventure; Fantasy,2026-04-12,Fantasy
1327819,movie,Hoppers,2026-03-04,349.1407,7.579,450,en,Animation; Family; Science Fiction; Comedy; Adventure,2026-04-12,Animation
1327819,movie,Hoppers,2026-03-04,349.1407,7.579,450,en,Animation; Family; Science Fiction; Comedy; Adventure,2026-04-12,Family
1327819,movie,Hoppers,2026-03-04,349.1407,7.579,450,en,Animation; Family; Science Fiction; Comedy; Adventure,2026-04-12,Science Fiction
1327819,movie,Hoppers,2026-03-04,349.1407,7.579,450,en,Animation; Family; Science Fiction; Comedy; Adventure,2026-04-12,Comedy
1327819,movie,Hoppers,2026-03-04,349.1407,7.579,450,en,Animation; Family; Science Fiction; Comedy; Adventure,2026-04-12,Adventure
79744,tv,The Rookie,2018-10-16,285.2744,8.5,3097,en,Crime; Drama; Comedy,2026-04-12,Crime
79744,tv,The Rookie,2018-10-16,285.2744,8.5,3097,en,Crime; Drama; Comedy,2026-04-12,Drama
79744,tv,The Rookie,2018-10-16,285.2744,8.5,3097,en,Crime; Drama; Comedy,2026-04-12,Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,274.0615,6.834,401,en,Family; Comedy; Adventure; Fantasy; Animation,2026-04-12,Family
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,274.0615,6.834,401,en,Family; Comedy; Adventure; Fantasy; Animation,2026-04-12,Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,274.0615,6.834,401,en,Family; Comedy; Adventure; Fantasy; Animation,2026-04-12,Adventure
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,274.0615,6.834,401,en,Family; Comedy; Adventure; Fantasy; Animation,2026-04-12,Fantasy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,274.0615,6.834,401,en,Family; Comedy; Adventure; Fantasy; Animation,2026-04-12,Animation
1290821,movie,Shelter,2026-01-28,267.5423,6.784,530,en,Action; Crime; Thriller,2026-04-12,Action
1290821,movie,Shelter,2026-01-28,267.5423,6.784,530,en,Action; Crime; Thriller,2026-04-12,Crime
1290821,movie,Shelter,2026-01-28,267.5423,6.784,530,en,Action; Crime; Thriller,2026-04-12,Thriller
279471,tv,Malcolm in the Middle: Life's Still Unfair,2026-04-10,257.6359,8.1,136,en,Comedy; Drama,2026-04-12,Comedy
279471,tv,Malcolm in the Middle: Life's Still Unfair,2026-04-10,257.6359,8.1,136,en,Comedy; Drama,2026-04-12,Drama
1171145,movie,Crime 101,2026-02-11,252.035,6.995,655,en,Crime; Thriller,2026-04-12,Crime
