id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
275102,tv,The Scandal,2026-09-18,4764.8935,6.5,8,ko,Drama,2026-09-21,Drama
108978,tv,Reacher,2022-02-03,924.8967,8.127,3371,en,Action & Adventure; Crime,2026-09-21,Action & Adventure
108978,tv,Reacher,2022-02-03,924.8967,8.127,3371,en,Action & Adventure; Crime,2026-09-21,Crime
969681,movie,Spider-Man: Brand New Day,2026-07-29,684.7189,7.861,2794,en,Science Fiction; Action; Adventure,2026-09-21,Science Fiction
969681,movie,Spider-Man: Brand New Day,2026-07-29,684.7189,7.861,2794,en,Science Fiction; Action; Adventure,2026-09-21,Action
969681,movie,Spider-Man: Brand New Day,2026-07-29,684.7189,7.861,2794,en,Science Fiction; Action; Adventure,2026-09-21,Adventure
1423191,movie,Resident Evil,2026-09-16,556.6877,7.354,212,en,Horror; Science Fiction; Adventure,2026-09-21,Horror
1423191,movie,Resident Evil,2026-09-16,556.6877,7.354,212,en,Horror; Science Fiction; Adventure,2026-09-21,Science Fiction
1423191,movie,Resident Evil,2026-09-16,556.6877,7.354,212,en,Horror; Science Fiction; Adventure,2026-09-21,Adventure
1101383,movie,The End of Oak Street,2026-08-12,514.5001,6.986,1303,en,Science Fiction; Mystery; Thriller,2026-09-21,Science Fiction
1101383,movie,The End of Oak Street,2026-08-12,514.5001,6.986,1303,en,Science Fiction; Mystery; Thriller,2026-09-21,Mystery
1101383,movie,The End of Oak Street,2026-08-12,514.5001,6.986,1303,en,Science Fiction; Mystery; Thriller,2026-09-21,Thriller
1204680,movie,Coyote vs. Acme,2026-08-20,485.616,7.555,465,en,Comedy; Adventure; Family,2026-09-21,Comedy
1204680,movie,Coyote vs. Acme,2026-08-20,485.616,7.555,465,en,Comedy; Adventure; Family,2026-09-21,Adventure
1204680,movie,Coyote vs. Acme,2026-08-20,485.616,7.555,465,en,Comedy; Adventure; Family,2026-09-21,Family
456,tv,The Simpsons,1989-12-17,457.0739,8.023,11017,en,Animation; Comedy,2026-09-21,Animation
456,tv,The Simpsons,1989-12-17,457.0739,8.023,11017,en,Animation; Comedy,2026-09-21,Comedy
113962,tv,Lioness,2023-07-23,385.7829,8.211,1575,en,Drama; War & Politics,2026-09-21,Drama
113962,tv,Lioness,2023-07-23,385.7829,8.211,1575,en,Drama; War & Politics,2026-09-21,War & Politics
1368337,movie,The Odyssey,2026-07-15,377.4824,8.017,3822,en,Adventure; Action; Fantasy,2026-09-21,Adventure
1368337,movie,The Odyssey,2026-07-15,377.4824,8.017,3822,en,Adventure; Action; Fantasy,2026-09-21,Action
1368337,movie,The Odyssey,2026-07-15,377.4824,8.017,3822,en,Adventure; Action; Fantasy,2026-09-21,Fantasy
1375646,movie,Colony,2026-05-21,351.7051,8.087,831,ko,Action; Horror; Science Fiction,2026-09-21,Action
1375646,movie,Colony,2026-05-21,351.7051,8.087,831,ko,Action; Horror; Science Fiction,2026-09-21,Horror
1375646,movie,Colony,2026-05-21,351.7051,8.087,831,ko,Action; Horror; Science Fiction,2026-09-21,Science Fiction
1288445,movie,Mutiny,2026-08-19,254.1106,6.439,423,en,Action; Thriller,2026-09-21,Action
1288445,movie,Mutiny,2026-08-19,254.1106,6.439,423,en,Action; Thriller,2026-09-21,Thriller
97546,tv,Ted Lasso,2020-08-14,253.806,8.371,2673,en,Drama; Comedy,2026-09-21,Drama
