id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
840464,movie,Greenland 2: Migration,2026-01-07,498.0278,6.556,356.0,en,Adventure; Thriller; Science Fiction,2026-02-08
1168190,movie,The Wrecking Crew,2026-01-28,454.2188,6.805,464.0,en,Action; Comedy; Crime; Mystery,2026-02-08
1368166,movie,The Housemaid,2025-12-18,434.5679,7.176,905.0,en,Mystery; Thriller,2026-02-08
66732,tv,Stranger Things,2016-07-15,306.2136,8.581,20561.0,en,Sci-Fi & Fantasy; Mystery; Action & Adventure,2026-02-08
1084242,movie,Zootopia 2,2025-11-26,286.9982,7.623,1587.0,en,Animation; Comedy; Adventure; Family; Mystery,2026-02-08
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,275.1727,8.138,214.0,en,Drama; Sci-Fi & Fantasy; Action & Adventure,2026-02-08
79744,tv,The Rookie,2018-10-16,242.1731,8.529,2938.0,en,Crime; Drama; Comedy,2026-02-08
95479,tv,JUJUTSU KAISEN,2020-10-03,199.6876,8.563,4177.0,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-02-08
106379,tv,Fallout,2024-04-10,194.8176,8.1,2524.0,en,Action & Adventure; Sci-Fi & Fantasy,2026-02-08
91239,tv,Bridgerton,2020-12-25,194.6473,8.068,3136.0,en,Drama,2026-02-08
1234731,movie,Anaconda,2025-12-24,155.5636,5.867,515.0,en,Adventure; Comedy; Horror,2026-02-08
83533,movie,Avatar: Fire and Ash,2025-12-17,154.5199,7.301,1713.0,en,Science Fiction; Adventure; Fantasy,2026-02-08
1242898,movie,Predator: Badlands,2025-11-05,149.9319,7.753,1828.0,en,Action; Science Fiction; Adventure,2026-02-08
240459,tv,Spartacus: House of Ashur,2025-12-05,148.0176,6.5,161.0,en,Drama; Action & Adventure,2026-02-08
858024,movie,Hamnet,2025-11-26,134.6561,7.805,357.0,en,Drama; Romance; History,2026-02-08
235685,tv,The Pendragon Cycle: Rise of the Merlin,2026-01-22,123.96,8.4,21.0,en,Sci-Fi & Fantasy; Action & Adventure; Family; Drama,2026-02-08
1306368,movie,The Rip,2026-01-13,121.2772,7.039,1097.0,en,Action; Thriller; Crime,2026-02-08
274776,tv,Unfamiliar,2026-02-05,109.6215,7.7,24.0,de,Action & Adventure; Drama; Crime,2026-02-08
1290821,movie,Shelter,2026-01-28,104.2006,7.7,32.0,en,Action; Crime; Thriller,2026-02-08
209867,tv,Frieren: Beyond Journey's End,2023-09-29,102.5117,8.765,670.0,ja,Animation; Action & Adventure; Drama; Sci-Fi & Fantasy,2026-02-08
1198994,movie,Send Help,2026-01-22,95.4722,6.985,199.0,en,Horror; Thriller; Comedy,2026-02-08
2190,tv,South Park,1997-08-13,94.1498,8.337,4837.0,en,Animation; Comedy,2026-02-08
198178,tv,Wonder Man,2026-01-27,89.6121,7.1,180.0,en,Comedy; Drama,2026-02-08
116799,tv,The Lincoln Lawyer,2022-05-13,85.358,7.7,443.0,en,Drama; Crime,2026-02-08
1548113,movie,The Muppet Show,2026-02-03,82.8531,7.1,46.0,en,Comedy; Family; Music; TV Movie,2026-02-08
991494,movie,The SpongeBob Movie: Search for SquarePants,2025-12-16,82.5262,6.7,178.0,en,Animation; Family; Comedy; Adventure; Fantasy,2026-02-08
250307,tv,The Pitt,2025-01-09,78.8906,8.692,450.0,en,Drama,2026-02-08
1466115,movie,Even If This Love Disappears Tonight,2025-12-24,75.2414,8.1,20.0,ko,Romance; Drama,2026-02-08
1116201,movie,Iron Lung,2026-01-29,73.9703,7.407,75.0,en,Horror; Science Fiction; Mystery,2026-02-08
1370814,movie,The Plague,2025-12-24,72.7062,6.985,33.0,en,Drama; Thriller,2026-02-08
117465,tv,Hell's Paradise,2023-04-01,61.8254,8.14,385.0,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-02-08
1291608,movie,Dhurandhar,2025-12-05,60.1969,6.9,188.0,hi,Action; Thriller,2026-02-08
273160,tv,The Beauty,2026-01-21,58.9572,6.1,54.0,en,Drama; Sci-Fi & Fantasy,2026-02-08
287231,tv,Vanished,2026-02-01,57.3023,7.417,12.0,en,Drama; Mystery,2026-02-08
801937,movie,"Silent Night, Deadly Night",2025-12-11,57.2808,6.3,71.0,en,Horror; Thriller,2026-02-08
1433842,movie,Relationship Goals,2026-02-04,55.4882,5.31,29.0,en,Romance; Comedy,2026-02-08
1317288,movie,Marty Supreme,2025-12-19,52.1891,7.762,523.0,en,Drama,2026-02-08
61859,tv,The Night Manager,2016-02-21,52.0313,7.741,1214.0,en,Drama; Mystery; Crime,2026-02-08
1054867,movie,One Battle After Another,2025-09-23,51.5505,7.426,2741.0,en,Thriller; Crime; Action,2026-02-08
301507,tv,Heated Rivalry,2025-11-28,50.2514,8.735,277.0,en,Drama,2026-02-08
1246049,movie,Dracula,2025-07-30,48.4192,7.164,800.0,fr,Horror; Fantasy; Romance,2026-02-08
1233413,movie,Sinners,2025-04-16,47.4968,7.488,3622.0,en,Horror; Action; Thriller,2026-02-08
1062722,movie,Frankenstein,2025-10-17,45.5539,7.686,2865.0,en,Drama; Fantasy; Horror,2026-02-08
1062722,movie,Frankenstein,2025-10-17,45.5539,7.686,2865.0,en,Drama; Fantasy; Horror,2026-02-08
1408208,movie,Exit 8,2025-08-28,42.1357,6.291,153.0,ja,Horror; Mystery,2026-02-08
