id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
969681,movie,Spider-Man: Brand New Day,2026-07-29,756.7679,7.8,2654,en,Science Fiction; Action; Adventure,2026-09-14
108978,tv,Reacher,2022-02-03,598.7406,8.113,3289,en,Action & Adventure; Crime,2026-09-14
1204680,movie,Coyote vs. Acme,2026-08-20,590.1793,7.631,358,en,Comedy; Adventure; Family,2026-09-14
1368337,movie,The Odyssey,2026-07-15,408.5067,8.005,3663,en,Adventure; Action; Fantasy,2026-09-14
1375646,movie,Colony,2026-05-21,400.7837,8.074,776,ko,Action; Horror; Science Fiction,2026-09-14
1108427,movie,Moana,2026-07-08,326.2097,7.144,585,en,Family; Fantasy; Comedy; Adventure,2026-09-14
125988,tv,Silo,2023-05-04,262.2487,8.21,2653,en,Sci-Fi & Fantasy; Drama,2026-09-14
97546,tv,Ted Lasso,2020-08-14,251.5668,8.368,2647,en,Drama; Comedy,2026-09-14
97546,tv,Ted Lasso,2020-08-14,251.5668,8.369,2647,en,Drama; Comedy,2026-09-14
1440098,movie,Drawn Together,2026-09-09,240.8506,6.548,62,es,Romance; Thriller,2026-09-14
456,tv,The Simpsons,1989-12-17,229.3019,8.021,11001,en,Animation; Comedy,2026-09-14
95350,tv,Lanterns,2026-08-16,213.7486,8.27,320,en,Drama; Mystery; Sci-Fi & Fantasy,2026-09-14
1137844,movie,Mayday,2026-09-03,205.8726,7.922,537,en,Action; Comedy,2026-09-14
236235,tv,The Gentlemen,2024-03-07,200.195,7.86,913,en,Comedy; Drama; Crime,2026-09-14
1386315,movie,The Runner,2026-09-03,195.5425,6.763,440,en,Thriller; Action,2026-09-14
69557,tv,Fauda,2015-02-15,163.9712,7.4,274,he,Drama; Action & Adventure; War & Politics,2026-09-14
60625,tv,Rick and Morty,2013-12-02,157.6087,8.681,11385,en,Animation; Comedy; Sci-Fi & Fantasy; Action & Adventure,2026-09-14
1506560,movie,Clash of the Thundermans,2026-09-03,153.3774,6.7,50,en,TV Movie; Family; Action,2026-09-14
1339713,movie,Obsession,2026-05-13,151.0084,8.191,5482,en,Horror; Thriller,2026-09-14
1084244,movie,Toy Story 5,2026-06-17,147.7164,8.351,2120,en,Animation; Family; Comedy; Adventure,2026-09-14
1084244,movie,Toy Story 5,2026-06-17,147.7164,8.4,2119,en,Animation; Family; Comedy; Adventure,2026-09-14
94664,tv,Mushoku Tensei: Jobless Reincarnation,2021-01-11,140.8605,8.4,1710,ja,Action & Adventure; Animation; Sci-Fi & Fantasy,2026-09-14
94997,tv,House of the Dragon,2022-08-21,125.5123,8.382,7114,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-09-14
1315772,movie,Minions & Monsters,2026-06-24,123.8709,7.547,1097,en,Adventure; Animation; Comedy; Family; Fantasy,2026-09-14
66732,tv,Stranger Things,2016-07-15,106.0447,8.552,21808,en,Action & Adventure; Mystery; Sci-Fi & Fantasy,2026-09-14
76479,tv,The Boys,2019-07-25,102.7792,8.433,13409,en,Sci-Fi & Fantasy; Action & Adventure,2026-09-14
299952,tv,The Early Spring,2026-08-26,102.2199,8.3,15,zh,Drama,2026-09-14
1101383,movie,The End of Oak Street,2026-08-12,101.6103,6.361,486,en,Science Fiction; Mystery; Thriller,2026-09-14
1101383,movie,The End of Oak Street,2026-08-12,101.6103,6.361,486,en,Science Fiction; Mystery; Thriller,2026-09-14
1413,tv,American Horror Story,2011-10-05,95.5676,8.073,6165,en,Drama; Mystery; Sci-Fi & Fantasy,2026-09-14
860508,movie,The Whisper Man,2026-08-27,92.0494,6.809,648,en,Crime; Drama; Thriller,2026-09-14
1275779,movie,Disclosure Day,2026-06-10,91.3835,7.5,3303,en,Science Fiction; Thriller,2026-09-14
980431,movie,Avatar Aang: The Last Airbender,2026-07-24,91.1521,9.148,1116,en,Animation; Adventure; Fantasy; Action,2026-09-14
687163,movie,Project Hail Mary,2026-03-15,89.6056,8.641,7729,en,Science Fiction; Adventure,2026-09-14
1083381,movie,Backrooms,2026-05-27,86.4387,7.049,3258,en,Horror; Mystery; Science Fiction,2026-09-14
300507,tv,Crew Girl,2026-09-10,84.608,8.031,16,en,Drama,2026-09-14
300507,tv,Crew Girl,2026-09-10,84.608,8.031,16,en,Drama,2026-09-14
1433367,movie,One Night Only,2026-08-06,84.0502,6.7,120,en,Romance; Comedy,2026-09-14
615,tv,Futurama,1999-03-28,83.6666,8.364,3900,en,Animation; Comedy; Sci-Fi & Fantasy,2026-09-14
65942,tv,Re:ZERO -Starting Life in Another World-,2016-04-04,83.3533,8.11,781,ja,Animation; Mystery; Action & Adventure; Sci-Fi & Fantasy,2026-09-14
1228710,movie,The Mandalorian and Grogu,2026-05-20,81.2985,7.481,1607,en,Action; Adventure; Science Fiction,2026-09-14
1302904,movie,Practical Magic 2,2026-09-09,80.4382,6.085,41,en,Romance; Fantasy; Comedy,2026-09-14
1081003,movie,Supergirl,2026-06-24,79.073,6.698,2267,en,Action; Adventure; Science Fiction,2026-09-14
1081003,movie,Supergirl,2026-06-24,79.073,6.696,2266,en,Action; Adventure; Science Fiction,2026-09-14
1058424,movie,Hope,2026-07-15,75.8337,7.824,51,ko,Science Fiction; Mystery; Action,2026-09-14
1058424,movie,Hope,2026-07-15,75.8337,7.824,51,ko,Science Fiction; Mystery; Action,2026-09-14
1185806,movie,PAW Patrol: The Dino Movie,2026-07-23,75.217,7.347,85,en,Animation; Adventure; Family; Fantasy; Comedy,2026-09-14
95480,tv,Slow Horses,2022-04-01,72.5383,8.007,969,en,Crime; Drama; Mystery,2026-09-14
1101412,movie,Fall 2: Deadpoint,2026-09-01,71.5348,6.786,28,en,Thriller,2026-09-14
196322,tv,Dark Matter,2024-05-07,69.0342,7.804,772,en,Sci-Fi & Fantasy; Drama,2026-09-14
196322,tv,Dark Matter,2024-05-07,69.0342,7.804,772,en,Sci-Fi & Fantasy; Drama,2026-09-14
103516,tv,Star Trek: Strange New Worlds,2022-05-05,68.2914,7.9,844,en,Sci-Fi & Fantasy; Drama,2026-09-14
247718,tv,MobLand,2025-03-30,67.1262,8.356,836,en,Crime; Drama,2026-09-14
813418,movie,Hot Spot,2026-08-21,59.1552,4.7,15,en,Science Fiction; Action; Crime; Fantasy; Thriller,2026-09-14
106449,tv,A Record of a Mortal's Journey to Immortality,2020-07-25,57.9558,8.419,86,zh,Animation; Action & Adventure; Drama,2026-09-14
194583,tv,The Walking Dead: Dead City,2023-06-18,55.6554,7.9,792,en,Action & Adventure; Drama; Sci-Fi & Fantasy,2026-09-14
287620,tv,Stuart Fails to Save the Universe,2026-07-23,54.6326,8.792,161,en,Comedy; Sci-Fi & Fantasy,2026-09-14
1377237,movie,Runner,2026-09-07,54.5519,8.0,15,en,Action; Comedy; Thriller,2026-09-14
1212763,movie,Evil Dead Burn,2026-07-07,53.2657,7.694,1507,en,Horror,2026-09-14
1288059,movie,I Want Your Sex,2026-07-29,50.563,6.2,63,en,Comedy,2026-09-14
298168,tv,The Shards,2026-08-05,50.3327,7.232,56,en,Drama; Mystery,2026-09-14
1365884,movie,Call My Agent! The Movie,2026-08-29,48.9394,5.974,38,fr,Comedy; Drama,2026-09-14
1522689,movie,Why Did I Get Married Again?,2026-09-08,48.8643,7.2,18,en,Comedy; Romance; Drama,2026-09-14
1122573,movie,In the Grey,2026-05-13,48.5177,7.587,952,en,Action; Thriller,2026-09-14
1384216,movie,The Dog Stars,2026-08-26,46.2158,6.6,257,en,Science Fiction; Thriller,2026-09-14
1291595,movie,Insidious: Out of the Further,2026-08-19,44.8206,6.5,148,en,Horror; Thriller,2026-09-14
287238,tv,Furious,2026-07-27,43.8427,7.282,119,en,Drama; Crime,2026-09-14
1480574,movie,Just Play Dead,2026-08-28,42.3399,6.051,39,en,Thriller; Crime,2026-09-14
1003596,movie,Avengers: Doomsday,2026-12-16,41.7341,0.0,0,en,Science Fiction; Action; Adventure,2026-09-14
1558568,movie,Go Team!,2026-09-11,41.4259,6.2,10,es,Comedy,2026-09-14
247168,tv,Chad Powers,2025-09-30,41.3656,7.988,121,en,Comedy,2026-09-14
246473,tv,Made in Korea,2025-12-24,38.7831,8.147,34,ko,Crime; Drama,2026-09-14
325755,tv,The Perfect Lie,2026-09-10,37.9373,6.3,9,nl,Drama,2026-09-14
1514026,movie,Buddy,2026-08-27,37.6409,8.0,55,en,Horror; Comedy,2026-09-14
66980,tv,Babylon Berlin,2017-10-13,37.2443,7.726,410,de,Drama; Crime; Mystery,2026-09-14
304842,tv,The Drop: A Snowfall Saga,2026-09-08,37.0775,6.2,10,en,Drama,2026-09-14
126167,tv,Vigil,2021-08-29,35.305,7.199,276,en,Drama; Crime,2026-09-14
255358,tv,THE GHOST IN THE SHELL,2026-07-07,34.4652,8.11,59,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-09-14
1325734,movie,The Drama,2026-04-01,34.3299,6.9,1767,en,Romance; Comedy; Drama,2026-09-14
253941,tv,The Paper,2025-09-04,33.2898,7.126,95,en,Comedy,2026-09-14
220102,tv,Spider-Noir,2026-05-25,33.2527,8.35,838,en,Drama; Mystery; Crime,2026-09-14
278624,tv,Lucky,2026-07-14,31.8883,7.298,260,en,Drama; Crime,2026-09-14
950028,movie,The Invite,2026-06-25,30.7325,7.252,493,en,Comedy; Drama; Romance,2026-09-14
314939,tv,A Love Other Than Yours,2026-09-12,28.2529,8.0,1,ko,Drama; Comedy,2026-09-14
260458,tv,Adults,2025-05-28,28.1598,6.1,84,en,Comedy,2026-09-14
977942,movie,The Uprising,2026-09-10,27.5041,7.1,10,en,Drama; Action; History,2026-09-14
301626,tv,A Tale of Two Cities,2026-09-06,25.2991,8.111,9,en,Drama; Mystery,2026-09-14
1368314,movie,Passenger,2026-05-20,25.018,7.303,859,en,Horror; Thriller,2026-09-14
1318413,movie,Pressure,2026-05-28,24.4617,7.725,385,en,Thriller; History; War; Drama,2026-09-14
329471,tv,The Grand Tour,2026-09-04,23.5569,9.0,9,en,Reality,2026-09-14
294636,tv,The Ordinary Jackpot,2026-09-10,23.3855,10.0,1,ko,Sci-Fi & Fantasy; Drama,2026-09-14
260249,tv,The Trial,2026-09-11,22.9521,9.8,9,es,Drama,2026-09-14
387,tv,SpongeBob SquarePants,1999-05-01,20.9018,7.715,3270,en,Animation; Comedy; Family,2026-09-14
1465063,movie,Forgotten Island,2026-09-16,19.853,9.0,2,en,Animation; Adventure; Fantasy; Comedy; Family,2026-09-14
1340206,movie,Tuner,2026-05-21,19.4399,7.6,424,en,Crime; Drama; Thriller,2026-09-14
1248832,movie,Digger,2026-09-30,18.5146,0.0,0,en,Comedy,2026-09-14
1263337,movie,Heart of the Beast,2026-09-19,15.6774,0.0,0,en,Adventure; Thriller,2026-09-14
294486,tv,The Long Watch,2026-09-06,13.9554,9.0,1,zh,Mystery,2026-09-14
1375441,movie,Primetime,2026-09-23,13.3897,0.0,0,en,Crime; Drama; Thriller,2026-09-14
1447853,movie,Oasis: Don't Look Back in Anger,2026-09-09,11.3072,7.5,16,en,Documentary; Music,2026-09-14
