id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
1523145,movie,Your Heart Will Be Broken,2026-03-26,843.1812,6.471,17,ru,Romance; Drama,2026-03-29,Romance
1523145,movie,Your Heart Will Be Broken,2026-03-26,843.1812,6.471,17,ru,Romance; Drama,2026-03-29,Drama
456,tv,The Simpsons,1989-12-17,472.5817,8.012,10647,en,Family; Animation; Comedy,2026-03-29,Family
456,tv,The Simpsons,1989-12-17,472.5817,8.012,10647,en,Family; Animation; Comedy,2026-03-29,Animation
456,tv,The Simpsons,1989-12-17,472.5817,8.012,10647,en,Family; Animation; Comedy,2026-03-29,Comedy
1434,tv,Family Guy,1999-01-31,359.1237,7.4,4859,en,Animation; Comedy,2026-03-29,Animation
1434,tv,Family Guy,1999-01-31,359.1237,7.4,4859,en,Animation; Comedy,2026-03-29,Comedy
1115544,movie,Mike & Nick & Nick & Alice,2026-03-14,358.5571,6.347,59,en,Comedy; Science Fiction; Crime,2026-03-29,Comedy
1115544,movie,Mike & Nick & Nick & Alice,2026-03-14,358.5571,6.347,59,en,Comedy; Science Fiction; Crime,2026-03-29,Science Fiction
1115544,movie,Mike & Nick & Nick & Alice,2026-03-14,358.5571,6.347,59,en,Comedy; Science Fiction; Crime,2026-03-29,Crime
79744,tv,The Rookie,2018-10-16,345.7341,8.53,3069,en,Crime; Drama; Comedy,2026-03-29,Crime
79744,tv,The Rookie,2018-10-16,345.7341,8.53,3069,en,Crime; Drama; Comedy,2026-03-29,Drama
79744,tv,The Rookie,2018-10-16,345.7341,8.53,3069,en,Crime; Drama; Comedy,2026-03-29,Comedy
1084187,movie,Pretty Lethal,2026-03-13,308.4196,6.813,120,en,Action; Thriller; Horror,2026-03-29,Action
1084187,movie,Pretty Lethal,2026-03-13,308.4196,6.813,120,en,Action; Thriller; Horror,2026-03-29,Thriller
1084187,movie,Pretty Lethal,2026-03-13,308.4196,6.813,120,en,Action; Thriller; Horror,2026-03-29,Horror
83533,movie,Avatar: Fire and Ash,2025-12-17,307.5829,7.3,1962,en,Science Fiction; Adventure; Fantasy,2026-03-29,Science Fiction
