id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
1290821,movie,Shelter,2026-01-28,506.2271,6.76,171,en,Action; Crime; Thriller,2026-03-01,Action
1290821,movie,Shelter,2026-01-28,506.2271,6.76,171,en,Action; Crime; Thriller,2026-03-01,Crime
1290821,movie,Shelter,2026-01-28,506.2271,6.76,171,en,Action; Crime; Thriller,2026-03-01,Thriller
799882,movie,The Bluff,2026-02-17,346.9326,5.952,115,en,Action; Thriller,2026-03-01,Action
799882,movie,The Bluff,2026-02-17,346.9326,5.952,115,en,Action; Thriller,2026-03-01,Thriller
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,264.0799,8.505,554,en,Drama; Sci-Fi & Fantasy; Action & Adventure,2026-03-01,Drama
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,264.0799,8.505,554,en,Drama; Sci-Fi & Fantasy; Action & Adventure,2026-03-01,Sci-Fi & Fantasy
224372,tv,A Knight of the Seven Kingdoms,2026-01-18,264.0799,8.505,554,en,Drama; Sci-Fi & Fantasy; Action & Adventure,2026-03-01,Action & Adventure
1236153,movie,Mercy,2026-01-20,259.2191,7.125,594,en,Science Fiction; Action; Thriller,2026-03-01,Science Fiction
1236153,movie,Mercy,2026-01-20,259.2191,7.125,594,en,Science Fiction; Action; Thriller,2026-03-01,Action
1236153,movie,Mercy,2026-01-20,259.2191,7.125,594,en,Science Fiction; Action; Thriller,2026-03-01,Thriller
91239,tv,Bridgerton,2020-12-25,254.3868,8.1,3186,en,Drama,2026-03-01,Drama
79744,tv,The Rookie,2018-10-16,230.0865,8.535,2989,en,Crime; Drama; Comedy,2026-03-01,Crime
79744,tv,The Rookie,2018-10-16,230.0865,8.535,2989,en,Crime; Drama; Comedy,2026-03-01,Drama
79744,tv,The Rookie,2018-10-16,230.0865,8.535,2989,en,Crime; Drama; Comedy,2026-03-01,Comedy
1088434,movie,Hellfire,2026-02-05,217.8495,7.146,41,en,Action; Thriller,2026-03-01,Action
1088434,movie,Hellfire,2026-02-05,217.8495,7.146,41,en,Action; Thriller,2026-03-01,Thriller
456,tv,The Simpsons,1989-12-17,203.2471,8.012,10590,en,Family; Animation; Comedy,2026-03-01,Family
456,tv,The Simpsons,1989-12-17,203.2471,8.012,10590,en,Family; Animation; Comedy,2026-03-01,Animation
456,tv,The Simpsons,1989-12-17,203.2471,8.012,10590,en,Family; Animation; Comedy,2026-03-01,Comedy
680493,movie,Return to Silent Hill,2026-01-21,199.1589,5.1,218,en,Mystery; Drama; Horror,2026-03-01,Mystery
680493,movie,Return to Silent Hill,2026-01-21,199.1589,5.1,218,en,Mystery; Drama; Horror,2026-03-01,Drama
680493,movie,Return to Silent Hill,2026-01-21,199.1589,5.1,218,en,Mystery; Drama; Horror,2026-03-01,Horror
1159559,movie,Scream 7,2026-02-25,187.7203,5.889,157,en,Horror; Mystery; Crime,2026-03-01,Horror
1159559,movie,Scream 7,2026-02-25,187.7203,5.889,157,en,Horror; Mystery; Crime,2026-03-01,Mystery
1159559,movie,Scream 7,2026-02-25,187.7203,5.889,157,en,Horror; Mystery; Crime,2026-03-01,Crime
95479,tv,JUJUTSU KAISEN,2020-10-03,173.1184,8.56,4222,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-03-01,Animation
95479,tv,JUJUTSU KAISEN,2020-10-03,173.1184,8.56,4222,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-03-01,Action & Adventure
95479,tv,JUJUTSU KAISEN,2020-10-03,173.1184,8.56,4222,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-03-01,Sci-Fi & Fantasy
66732,tv,Stranger Things,2016-07-15,173.0284,8.578,20745,en,Sci-Fi & Fantasy; Mystery; Action & Adventure,2026-03-01,Sci-Fi & Fantasy
66732,tv,Stranger Things,2016-07-15,173.0284,8.578,20745,en,Sci-Fi & Fantasy; Mystery; Action & Adventure,2026-03-01,Mystery
66732,tv,Stranger Things,2016-07-15,173.0284,8.578,20745,en,Sci-Fi & Fantasy; Mystery; Action & Adventure,2026-03-01,Action & Adventure
1434,tv,Family Guy,1999-01-31,162.7998,7.391,4815,en,Animation; Comedy,2026-03-01,Animation
1434,tv,Family Guy,1999-01-31,162.7998,7.391,4815,en,Animation; Comedy,2026-03-01,Comedy
1084242,movie,Zootopia 2,2025-11-26,158.4156,7.602,1897,en,Animation; Comedy; Adventure; Family; Mystery,2026-03-01,Animation
1084242,movie,Zootopia 2,2025-11-26,158.4156,7.602,1897,en,Animation; Comedy; Adventure; Family; Mystery,2026-03-01,Comedy
1084242,movie,Zootopia 2,2025-11-26,158.4156,7.602,1897,en,Animation; Comedy; Adventure; Family; Mystery,2026-03-01,Adventure
1084242,movie,Zootopia 2,2025-11-26,158.4156,7.602,1897,en,Animation; Comedy; Adventure; Family; Mystery,2026-03-01,Family
1084242,movie,Zootopia 2,2025-11-26,158.4156,7.602,1897,en,Animation; Comedy; Adventure; Family; Mystery,2026-03-01,Mystery
202411,tv,Monarch: Legacy of Monsters,2023-11-16,132.0405,7.7,1041,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-03-01,Sci-Fi & Fantasy
202411,tv,Monarch: Legacy of Monsters,2023-11-16,132.0405,7.7,1041,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-03-01,Drama
202411,tv,Monarch: Legacy of Monsters,2023-11-16,132.0405,7.7,1041,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-03-01,Action & Adventure
840464,movie,Greenland 2: Migration,2026-01-07,131.6181,6.512,530,en,Adventure; Thriller; Science Fiction,2026-03-01,Adventure
840464,movie,Greenland 2: Migration,2026-01-07,131.6181,6.512,530,en,Adventure; Thriller; Science Fiction,2026-03-01,Thriller
840464,movie,Greenland 2: Migration,2026-01-07,131.6181,6.512,530,en,Adventure; Thriller; Science Fiction,2026-03-01,Science Fiction
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,127.7663,7.181,698,en,Horror; Thriller; Science Fiction,2026-03-01,Horror
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,127.7663,7.181,698,en,Horror; Thriller; Science Fiction,2026-03-01,Thriller
1272837,movie,28 Years Later: The Bone Temple,2026-01-14,127.7663,7.181,698,en,Horror; Thriller; Science Fiction,2026-03-01,Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,117.2254,7.3,1840,en,Science Fiction; Adventure; Fantasy,2026-03-01,Science Fiction
83533,movie,Avatar: Fire and Ash,2025-12-17,117.2254,7.3,1840,en,Science Fiction; Adventure; Fantasy,2026-03-01,Adventure
83533,movie,Avatar: Fire and Ash,2025-12-17,117.2254,7.3,1840,en,Science Fiction; Adventure; Fantasy,2026-03-01,Fantasy
1368166,movie,The Housemaid,2025-12-18,110.7472,7.252,1352,en,Drama; Mystery; Thriller,2026-03-01,Drama
