id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week
124364,tv,FROM,2022-02-20,644.1358,8.167,2635,en,Mystery; Drama; Sci-Fi & Fantasy,2026-04-26
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,594.5416,6.8,628,en,Family; Comedy; Adventure; Fantasy; Animation,2026-04-26
76479,tv,The Boys,2019-07-25,593.6623,8.4,11979,en,Sci-Fi & Fantasy; Action & Adventure,2026-04-26
1318447,movie,Apex,2026-04-24,455.2368,6.539,246,en,Thriller; Action,2026-04-26
1523145,movie,Your Heart Will Be Broken,2026-03-26,340.2204,6.9,74,ru,Romance; Drama,2026-04-26
1198994,movie,Send Help,2026-01-22,325.9819,7.028,1089,en,Horror; Thriller; Comedy,2026-04-26
85552,tv,Euphoria,2019-06-16,301.9964,8.281,10444,en,Drama,2026-04-26
79744,tv,The Rookie,2018-10-16,280.3679,8.532,3137,en,Crime; Drama; Comedy,2026-04-26
980431,movie,Avatar Aang: The Last Airbender,2026-10-09,276.8632,0.0,0,en,Animation; Action; Adventure; Fantasy,2026-04-26
95557,tv,INVINCIBLE,2021-03-25,258.7647,8.627,5624,en,Animation; Drama; Sci-Fi & Fantasy; Action & Adventure,2026-04-26
83533,movie,Avatar: Fire and Ash,2025-12-17,243.8331,7.376,2730,en,Science Fiction; Adventure; Fantasy,2026-04-26
936075,movie,Michael,2026-04-22,227.8908,7.568,243,en,Music; Drama,2026-04-26
1613798,movie,Vengeance,2026-02-26,216.1292,6.943,88,es,Action; Thriller,2026-04-26
687163,movie,Project Hail Mary,2026-03-15,194.6913,8.214,1745,en,Science Fiction; Adventure,2026-04-26
1327819,movie,Hoppers,2026-03-04,174.8272,7.6,519,en,Animation; Family; Science Fiction; Comedy; Adventure,2026-04-26
1290821,movie,Shelter,2026-01-28,173.105,6.789,599,en,Action; Crime; Thriller,2026-04-26
1297842,movie,GOAT,2026-02-11,145.8795,7.918,452,en,Animation; Comedy; Family,2026-04-26
1171145,movie,Crime 101,2026-02-11,144.5383,6.947,786,en,Crime; Thriller,2026-04-26
1434,tv,Family Guy,1999-01-31,143.676,7.396,4892,en,Animation; Comedy,2026-04-26
66732,tv,Stranger Things,2016-07-15,143.5293,8.569,21038,en,Sci-Fi & Fantasy; Mystery; Action & Adventure,2026-04-26
95479,tv,JUJUTSU KAISEN,2020-10-03,128.4275,8.6,4350,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,2026-04-26
1290417,movie,Thrash,2026-04-10,126.432,6.017,439,en,Horror; Thriller,2026-04-26
1304313,movie,Lee Cronin's The Mummy,2026-04-15,125.6582,6.816,147,en,Horror; Mystery,2026-04-26
202411,tv,Monarch: Legacy of Monsters,2023-11-16,124.2644,7.715,1182,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-04-26
127529,tv,Bloodhounds,2023-06-09,119.1164,8.381,606,ko,Drama; Action & Adventure; Crime,2026-04-26
278573,tv,Perfect Crown,2026-04-10,117.7354,0.0,0,ko,Comedy; Drama,2026-04-26
1084577,movie,Balls Up,2026-04-15,114.5049,5.652,132,en,Comedy; Action; Adventure,2026-04-26
1084242,movie,Zootopia 2,2025-11-26,113.0485,7.607,2614,en,Adventure; Animation; Comedy; Family; Mystery,2026-04-26
56570,tv,Outlander,2014-08-09,110.9174,8.175,2812,en,Drama; Sci-Fi & Fantasy,2026-04-26
202555,tv,Daredevil: Born Again,2025-03-04,110.4718,8.044,767,en,Drama; Action & Adventure; Crime,2026-04-26
840464,movie,Greenland 2: Migration,2026-01-07,109.1993,6.4,932,en,Adventure; Thriller; Science Fiction,2026-04-26
224263,tv,Stranger Things: Tales from '85,2026-04-23,100.6783,6.8,24,en,Animation; Sci-Fi & Fantasy; Mystery; Action & Adventure,2026-04-26
250307,tv,The Pitt,2025-01-09,98.0558,8.704,683,en,Drama,2026-04-26
