id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
124364,tv,FROM,2022-02-20,706.0003,8.496,3809,en,Mystery; Drama; Sci-Fi & Fantasy,2026-06-28,Mystery
124364,tv,FROM,2022-02-20,706.0003,8.496,3809,en,Mystery; Drama; Sci-Fi & Fantasy,2026-06-28,Drama
124364,tv,FROM,2022-02-20,706.0003,8.496,3809,en,Mystery; Drama; Sci-Fi & Fantasy,2026-06-28,Sci-Fi & Fantasy
1084244,movie,Toy Story 5,2026-06-17,489.721,7.463,350,en,Animation; Family; Comedy; Adventure,2026-06-28,Animation
1084244,movie,Toy Story 5,2026-06-17,489.721,7.463,350,en,Animation; Family; Comedy; Adventure,2026-06-28,Family
1084244,movie,Toy Story 5,2026-06-17,489.721,7.463,350,en,Animation; Family; Comedy; Adventure,2026-06-28,Comedy
1084244,movie,Toy Story 5,2026-06-17,489.721,7.463,350,en,Animation; Family; Comedy; Adventure,2026-06-28,Adventure
1339713,movie,Obsession,2026-05-13,487.4195,7.9,1019,en,Horror; Thriller,2026-06-28,Horror
1339713,movie,Obsession,2026-05-13,487.4195,7.9,1019,en,Horror; Thriller,2026-06-28,Thriller
94997,tv,House of the Dragon,2022-08-21,480.817,8.343,6319,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-06-28,Sci-Fi & Fantasy
94997,tv,House of the Dragon,2022-08-21,480.817,8.343,6319,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-06-28,Drama
94997,tv,House of the Dragon,2022-08-21,480.817,8.343,6319,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-06-28,Action & Adventure
1275779,movie,Disclosure Day,2026-06-10,421.7161,6.69,707,en,Science Fiction; Thriller,2026-06-28,Science Fiction
1275779,movie,Disclosure Day,2026-06-10,421.7161,6.69,707,en,Science Fiction; Thriller,2026-06-28,Thriller
936075,movie,Michael,2026-04-22,346.6964,8.705,3094,en,Music; Drama,2026-06-28,Music
936075,movie,Michael,2026-04-22,346.6964,8.705,3094,en,Music; Drama,2026-06-28,Drama
1081003,movie,Supergirl,2026-06-24,321.6545,6.2,202,en,Action; Adventure; Science Fiction,2026-06-28,Action
1081003,movie,Supergirl,2026-06-24,321.6545,6.2,202,en,Action; Adventure; Science Fiction,2026-06-28,Adventure
1081003,movie,Supergirl,2026-06-24,321.6545,6.2,202,en,Action; Adventure; Science Fiction,2026-06-28,Science Fiction
273240,tv,Off Campus,2026-05-13,305.824,8.96,565,en,Drama,2026-06-28,Drama
1127384,movie,Deep Water,2026-04-30,298.9954,6.142,67,en,Thriller; Horror,2026-06-28,Thriller
1127384,movie,Deep Water,2026-04-30,298.9954,6.142,67,en,Thriller; Horror,2026-06-28,Horror
286360,tv,Notes from the Last Row,2026-06-26,273.5284,8.909,11,ko,Mystery; Drama,2026-06-28,Mystery
286360,tv,Notes from the Last Row,2026-06-26,273.5284,8.909,11,ko,Mystery; Drama,2026-06-28,Drama
1301421,movie,The Sheep Detectives,2026-04-30,273.4522,7.758,460,en,Comedy; Mystery; Family,2026-06-28,Comedy
1301421,movie,The Sheep Detectives,2026-04-30,273.4522,7.758,460,en,Comedy; Mystery; Family,2026-06-28,Mystery
1301421,movie,The Sheep Detectives,2026-04-30,273.4522,7.758,460,en,Comedy; Mystery; Family,2026-06-28,Family
931285,movie,Mortal Kombat II,2026-05-06,267.5039,7.978,1714,en,Action; Fantasy; Adventure,2026-06-28,Action
931285,movie,Mortal Kombat II,2026-05-06,267.5039,7.978,1714,en,Action; Fantasy; Adventure,2026-06-28,Fantasy
931285,movie,Mortal Kombat II,2026-05-06,267.5039,7.978,1714,en,Action; Fantasy; Adventure,2026-06-28,Adventure
1515729,movie,Blast,2026-05-28,256.2052,7.263,19,ta,Drama; Action; Family; Thriller,2026-06-28,Drama
1515729,movie,Blast,2026-05-28,256.2052,7.263,19,ta,Drama; Action; Family; Thriller,2026-06-28,Action
1515729,movie,Blast,2026-05-28,256.2052,7.263,19,ta,Drama; Action; Family; Thriller,2026-06-28,Family
1515729,movie,Blast,2026-05-28,256.2052,7.263,19,ta,Drama; Action; Family; Thriller,2026-06-28,Thriller
1083381,movie,Backrooms,2026-05-27,255.827,6.895,760,en,Horror; Mystery; Science Fiction,2026-06-28,Horror
1083381,movie,Backrooms,2026-05-27,255.827,6.895,760,en,Horror; Mystery; Science Fiction,2026-06-28,Mystery
1083381,movie,Backrooms,2026-05-27,255.827,6.895,760,en,Horror; Mystery; Science Fiction,2026-06-28,Science Fiction
79744,tv,The Rookie,2018-10-16,235.0033,8.55,3338,en,Crime; Drama; Comedy,2026-06-28,Crime
79744,tv,The Rookie,2018-10-16,235.0033,8.55,3338,en,Crime; Drama; Comedy,2026-06-28,Drama
79744,tv,The Rookie,2018-10-16,235.0033,8.55,3338,en,Crime; Drama; Comedy,2026-06-28,Comedy
299167,tv,Dutton Ranch,2026-05-15,230.7462,9.259,319,en,Western; Drama,2026-06-28,Western
299167,tv,Dutton Ranch,2026-05-15,230.7462,9.259,319,en,Western; Drama,2026-06-28,Drama
82452,tv,Avatar: The Last Airbender,2024-02-22,229.1439,7.798,1150,en,Action & Adventure; Sci-Fi & Fantasy; Drama; Family,2026-06-28,Action & Adventure
82452,tv,Avatar: The Last Airbender,2024-02-22,229.1439,7.798,1150,en,Action & Adventure; Sci-Fi & Fantasy; Drama; Family,2026-06-28,Sci-Fi & Fantasy
82452,tv,Avatar: The Last Airbender,2024-02-22,229.1439,7.798,1150,en,Action & Adventure; Sci-Fi & Fantasy; Drama; Family,2026-06-28,Drama
82452,tv,Avatar: The Last Airbender,2024-02-22,229.1439,7.798,1150,en,Action & Adventure; Sci-Fi & Fantasy; Drama; Family,2026-06-28,Family
76479,tv,The Boys,2019-07-25,218.8613,8.45,12996,en,Sci-Fi & Fantasy; Action & Adventure,2026-06-28,Sci-Fi & Fantasy
76479,tv,The Boys,2019-07-25,218.8613,8.45,12996,en,Sci-Fi & Fantasy; Action & Adventure,2026-06-28,Action & Adventure
76479,tv,The Boys,2019-07-25,218.8613,8.45,12996,en,Sci-Fi & Fantasy; Action & Adventure,2026-06-28,Sci-Fi & Fantasy
76479,tv,The Boys,2019-07-25,218.8613,8.45,12996,en,Sci-Fi & Fantasy; Action & Adventure,2026-06-28,Action & Adventure
1273221,movie,Scary Movie,2026-06-03,192.3462,5.523,370,en,Comedy; Horror,2026-06-28,Comedy
1273221,movie,Scary Movie,2026-06-03,192.3462,5.523,370,en,Comedy; Horror,2026-06-28,Horror
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,180.9182,8.229,2850,en,Family; Comedy; Adventure; Fantasy; Animation,2026-06-28,Family
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,180.9182,8.229,2850,en,Family; Comedy; Adventure; Fantasy; Animation,2026-06-28,Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,180.9182,8.229,2850,en,Family; Comedy; Adventure; Fantasy; Animation,2026-06-28,Adventure
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,180.9182,8.229,2850,en,Family; Comedy; Adventure; Fantasy; Animation,2026-06-28,Fantasy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,180.9182,8.229,2850,en,Family; Comedy; Adventure; Fantasy; Animation,2026-06-28,Animation
278178,tv,I Will Find You,2026-06-18,179.0183,8.3,146,en,Drama; Mystery; Crime,2026-06-28,Drama
278178,tv,I Will Find You,2026-06-18,179.0183,8.3,146,en,Drama; Mystery; Crime,2026-06-28,Mystery
278178,tv,I Will Find You,2026-06-18,179.0183,8.3,146,en,Drama; Mystery; Crime,2026-06-28,Crime
614945,movie,Voicemails for Isabelle,2026-06-20,177.7415,8.272,300,en,Romance; Comedy,2026-06-28,Romance
614945,movie,Voicemails for Isabelle,2026-06-20,177.7415,8.272,300,en,Romance; Comedy,2026-06-28,Comedy
1228710,movie,The Mandalorian and Grogu,2026-05-20,176.917,6.684,531,en,Action; Adventure; Science Fiction,2026-06-28,Action
1228710,movie,The Mandalorian and Grogu,2026-05-20,176.917,6.684,531,en,Action; Adventure; Science Fiction,2026-06-28,Adventure
