id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
76479,tv,The Boys,2019-07-25,911.3974,8.463,12650,en,Sci-Fi & Fantasy; Action & Adventure,2026-05-24,Sci-Fi & Fantasy
76479,tv,The Boys,2019-07-25,911.3974,8.463,12650,en,Sci-Fi & Fantasy; Action & Adventure,2026-05-24,Action & Adventure
1304313,movie,Lee Cronin's The Mummy,2026-04-15,710.3831,8.007,1048,en,Horror; Mystery,2026-05-24,Horror
1304313,movie,Lee Cronin's The Mummy,2026-04-15,710.3831,8.007,1048,en,Horror; Mystery,2026-05-24,Mystery
124364,tv,FROM,2022-02-20,631.0481,8.4,3303,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-24,Mystery
124364,tv,FROM,2022-02-20,631.0481,8.4,3303,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-24,Drama
124364,tv,FROM,2022-02-20,631.0481,8.4,3303,en,Mystery; Drama; Sci-Fi & Fantasy,2026-05-24,Sci-Fi & Fantasy
273240,tv,Off Campus,2026-05-13,502.8831,9.112,228,en,Drama,2026-05-24,Drama
1439930,movie,The Punisher: One Last Kill,2026-05-12,499.0857,8.441,1150,en,Action; Drama; Crime,2026-05-24,Action
1439930,movie,The Punisher: One Last Kill,2026-05-12,499.0857,8.441,1150,en,Action; Drama; Crime,2026-05-24,Drama
1439930,movie,The Punisher: One Last Kill,2026-05-12,499.0857,8.441,1150,en,Action; Drama; Crime,2026-05-24,Crime
1380291,movie,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,458.7113,7.166,235,en,Action; Thriller,2026-05-24,Action
1380291,movie,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,458.7113,7.166,235,en,Action; Thriller,2026-05-24,Thriller
687163,movie,Project Hail Mary,2026-03-15,422.0199,8.62,3997,en,Science Fiction; Adventure,2026-05-24,Science Fiction
687163,movie,Project Hail Mary,2026-03-15,422.0199,8.62,3997,en,Science Fiction; Adventure,2026-05-24,Adventure
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,397.1744,7.886,1742,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-24,Family
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,397.1744,7.886,1742,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-24,Comedy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,397.1744,7.886,1742,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-24,Adventure
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,397.1744,7.886,1742,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-24,Fantasy
1226863,movie,The Super Mario Galaxy Movie,2026-04-01,397.1744,7.886,1742,en,Family; Comedy; Adventure; Fantasy; Animation,2026-05-24,Animation
1007757,movie,Swapped,2026-05-01,327.5134,8.985,1334,en,Adventure; Animation; Family; Fantasy,2026-05-24,Adventure
1007757,movie,Swapped,2026-05-01,327.5134,8.985,1334,en,Adventure; Animation; Family; Fantasy,2026-05-24,Animation
1007757,movie,Swapped,2026-05-01,327.5134,8.985,1334,en,Adventure; Animation; Family; Fantasy,2026-05-24,Family
1007757,movie,Swapped,2026-05-01,327.5134,8.985,1334,en,Adventure; Animation; Family; Fantasy,2026-05-24,Fantasy
308014,tv,Berlin and the Lady with an Ermine,2026-05-15,278.4297,8.287,89,es,Drama; Crime; Action & Adventure; Comedy,2026-05-24,Drama
308014,tv,Berlin and the Lady with an Ermine,2026-05-15,278.4297,8.287,89,es,Drama; Crime; Action & Adventure; Comedy,2026-05-24,Crime
308014,tv,Berlin and the Lady with an Ermine,2026-05-15,278.4297,8.287,89,es,Drama; Crime; Action & Adventure; Comedy,2026-05-24,Action & Adventure
308014,tv,Berlin and the Lady with an Ermine,2026-05-15,278.4297,8.287,89,es,Drama; Crime; Action & Adventure; Comedy,2026-05-24,Comedy
79744,tv,The Rookie,2018-10-16,262.0746,8.543,3240,en,Crime; Drama; Comedy,2026-05-24,Crime
79744,tv,The Rookie,2018-10-16,262.0746,8.543,3240,en,Crime; Drama; Comedy,2026-05-24,Drama
79744,tv,The Rookie,2018-10-16,262.0746,8.543,3240,en,Crime; Drama; Comedy,2026-05-24,Comedy
1339713,movie,Obsession,2026-04-16,257.9027,7.898,240,en,Horror,2026-05-24,Horror
1523145,movie,Your Heart Will Be Broken,2026-03-26,251.339,6.753,79,ru,Romance; Drama,2026-05-24,Romance
1523145,movie,Your Heart Will Be Broken,2026-03-26,251.339,6.753,79,ru,Romance; Drama,2026-05-24,Drama
